"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"2298","Jarnell_Stokes",81,263,"2017",23,"DEN","NBA","C",2,7,31.5,0.798,0,2,15.9,15.6,15.8,40.1,7,0,0,11.4,0.1,0,0.1,0.48,4.9,11.9,16.8,0,724,"DEN",2,0,2,3.3,1134.5,0.21,0.1,0.12,3.69,4.63,3.06,423,980431,1051245,0
"2299","Diamond_Stone",83,255,"2017",19,"LAC","NBA","C",7,24,-1.2,0.339,0,0.308,4.8,22.7,14,0,0,3.4,11.9,31.3,-0.1,0,-0.1,-0.211,-14.9,-5.9,-20.8,-0.1,428,"LAC",7,6,1,3.5,1354,0.26,0.14,0.12,4.45,4.44,4.47,473,543471,905249,0
"2304","Max_Strus",78,215,"2020",23,"CHI","NBA","SG",2,6,30.7,0.727,0.333,0.333,17.5,0,9.2,0,0,0,0,24.4,0,0,0,0.317,5.4,-1,4.4,0,1161,"CHI",2,0,2,3.1,1565.5,0.3,0.15,0.14,4.85,5.76,4.19,493,415414,0,1
"2309","Jared_Sullinger",81,260,"2017",24,"TOR","NBA","PF",11,118,6,0.366,0.383,0.17,9.6,16.3,12.9,3.7,1.7,0.7,7.3,20.7,-0.2,0.1,-0.1,-0.031,-5.1,-2.2,-7.2,-0.2,719,"TOR",11,2,9,10.7,3760.4,0.71,0.39,0.33,3.98,4.08,3.98,177,5628000,0,1
"2312","Edmond_Sumner",76,176,"2020",24,"IND","NBA","PG",25,345,10,0.485,0.342,0.135,3.2,8.6,5.9,15.4,2.1,2,13.9,17.4,-0.1,0.4,0.3,0.039,-3.6,0.4,-3.1,-0.1,494,"IND",25,11,14,13.8,5702.6,1.08,0.56,0.52,4.36,4.67,4.06,347,2e+06,2160000,0
"2313","Jayson_Tatum",80,204,"2018",19,"BOS","NBA","SF",80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,0,1.2,1.2,2,752,"BOS",77,50,27,30.7,11253.9,2.13,1.14,0.99,4.18,4.46,3.89,184,5645400,6700800,0
"2314","Jayson_Tatum",80,204,"2019",20,"BOS","NBA","SF",79,2455,15.1,0.547,0.3,0.22,3,17.7,10.4,10,1.6,2.1,9.7,22.1,1.6,3.4,5,0.097,-0.4,0.2,-0.2,1.1,753,"BOS",79,48,31,31.1,12037.4,2.28,1.21,1.07,4.14,4.48,3.81,180,6700800,7830000,0
"2315","Jayson_Tatum",80,204,"2020",21,"BOS","NBA","PF",59,2043,20.3,0.562,0.377,0.251,3,18.8,11,14,2,2.4,9.7,28.6,2.9,3.4,6.2,0.147,3.3,0.6,3.9,3,754,"BOS",59,41,18,34.6,13057.7,2.47,1.34,1.13,4,4.38,3.63,155,7830000,9897120,0
"2318","Isaiah_Taylor",75,170,"2017",22,"HOU","NBA","PG",4,52,0.3,0.19,0.286,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0,6.4,-0.1,0,0,-0.028,-6.9,-0.9,-7.8,-0.1,640,"HOU",4,3,1,13,4827.5,0.91,0.47,0.44,4.28,4.41,4.16,534,50000,0,1
"2319","Isaiah_Taylor",75,170,"2018",23,"ATL","NBA","PG",67,1167,10.9,0.492,0.205,0.362,2.1,6.9,4.5,27,1.4,0.7,15.7,20.1,0.2,0.5,0.6,0.027,-3.1,-1.3,-4.4,-0.7,641,"ATL",67,18,49,17.4,6885.3,1.3,0.72,0.59,4.5,4.94,4.06,423,1312611,1544951,0
