"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"1410","Maxi_Kleber",82,240,"2019",27,"DAL","NBA","PF",71,1502,13.1,0.579,0.565,0.192,6.5,16.9,11.7,6.8,1.2,4.4,11.4,13.5,1.6,1.8,3.5,0.111,-0.8,1.2,0.4,0.9,1163,"DAL",71,30,41,21.2,8300,1.57,0.88,0.7,4.14,4.49,3.77,431,1378242,0,1
"1411","Maxi_Kleber",82,240,"2020",28,"DAL","NBA","C",66,1695,13.8,0.603,0.614,0.172,6.2,15.5,11,6.2,0.6,3.9,8.7,13.9,2.9,1.7,4.6,0.131,0.5,0.2,0.6,1.1,1164,"DAL",64,37,27,25.6,9682.6,1.83,1.02,0.82,4.02,4.3,3.7,150,8e+06,8250000,0
"1417","Brandon_Knight",74,195,"2017",25,"PHO","NBA","SG",54,1140,12.4,0.502,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,12.9,25,0.1,0.2,0.3,0.015,-0.8,-2.1,-2.8,-0.2,168,"PHX",53,16,37,21.2,8200.1,1.55,0.82,0.73,4.41,4.75,4.09,73,12606250,13618750,0
"1418","Brandon_Knight",74,195,"2019",27,"TOT","NBA","PG",39,736,8.9,0.484,0.496,0.131,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0,0,-0.002,-3.5,-2,-5.4,-0.6,169,"CLE",39,17,22,18.9,7153.9,1.35,0.74,0.62,4.23,4.48,3.98,84,14631250,15643750,0
"1419","Brandon_Knight",74,195,"2020",28,"TOT","NBA","PG",25,462,8.5,0.503,0.784,0.204,1,9.1,5,21.6,1.1,0.6,17.3,20.6,-0.2,0.1,-0.1,-0.01,-1.8,-2.7,-4.4,-0.3,170,"DET",25,4,21,18.5,7272.9,1.38,0.78,0.59,4.15,4.54,3.73,77,15643750,0,1
"1424","Luke_Kornet",86,240,"2019",23,"NYK","NBA","PF",46,784,14.8,0.531,0.682,0.163,3.6,14.6,9,10.5,1.7,4.5,7.6,17.9,0.6,0.7,1.4,0.083,1.4,0.7,2.1,0.8,1072,"NYK",45,9,36,16.7,6623.5,1.25,0.7,0.55,4.24,4.74,3.72,379,1619000,0,1
"1425","Luke_Kornet",86,240,"2020",24,"CHI","NBA","C",36,559,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.5,1.1,0.091,-0.9,-0.2,-1.1,0.1,1073,"CHI",36,11,25,15.5,6045.9,1.15,0.61,0.53,4.21,4.57,3.85,327,2195122,2304878,0
"1439","Kyle_Korver",79,212,"2017",35,"TOT","NBA","SG",67,1753,12.1,0.635,0.697,0.082,0.5,11,5.8,9.4,1,1,11.5,15.2,2.3,1.3,3.7,0.1,0.5,-0.5,0,0.9,999,"CLE",67,33,34,26.2,9805.3,1.86,0.98,0.87,4.27,4.59,3.97,189,5239437,0,1
"1440","Kyle_Korver",79,212,"2018",36,"CLE","NBA","SG",73,1574,13.4,0.652,0.777,0.149,0.7,10.9,5.9,8,1,1.5,9.6,16,2.8,0.6,3.4,0.104,1.5,-1.2,0.2,0.9,1000,"CLE",73,43,30,21.6,8395.5,1.59,0.83,0.76,4.44,4.78,4.12,154,7e+06,7560000,0
"1441","Kyle_Korver",79,212,"2019",37,"TOT","NBA","SG-PF",70,1334,11.2,0.582,0.72,0.151,0.7,12.4,6.6,8.9,0.9,0.7,10.3,18.5,1,1.3,2.3,0.082,-0.2,-0.3,-0.5,0.5,1001,"UTA",69,39,30,19.1,7951.1,1.51,0.83,0.68,4.44,4.89,3.99,164,7560000,7500000,0
"1442","Kyle_Korver",79,212,"2020",38,"MIL","NBA","SF",50,833,11.2,0.613,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5,1002,"MIL",49,39,10,16.6,6872.2,1.3,0.68,0.62,4.38,4.7,4.07,254,3440000,0,1
"1443","Kyle_Korver",79,212,"2020",38,"MIL","NBA","SF",50,833,11.2,0.613,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5,1003,"MIL",49,39,10,16.6,6872.2,1.3,0.68,0.62,4.38,4.7,4.07,292,2564753,0,1
"1452","Kosta_Koufos",84,245,"2017",27,"SAC","NBA","C",71,1419,13.8,0.56,0.003,0.158,9.7,23,16.4,5.3,1.3,3.1,12.7,15.3,1.2,1.4,2.6,0.089,-2.1,-0.4,-2.5,-0.2,984,"SAC",71,27,44,20,7524.5,1.43,0.76,0.66,4.29,4.42,4.16,127,8046500,8393000,0
"1453","Kosta_Koufos",84,245,"2018",28,"SAC","NBA","C",71,1391,17.5,0.566,0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.9,0.134,-0.2,-0.2,-0.4,0.6,985,"SAC",71,22,49,19.6,7439.1,1.41,0.74,0.66,4.36,4.56,4.16,136,8393000,8739500,0
"1454","Kosta_Koufos",84,245,"2019",29,"SAC","NBA","C",42,502,12.3,0.477,0,0.157,10.4,26.3,18.2,9.5,1.4,3.1,14.2,15.7,0,0.7,0.7,0.063,-3.6,0.2,-3.4,-0.2,986,"SAC",42,21,21,11.9,4861.4,0.92,0.49,0.43,4.32,4.55,4.08,145,8739500,0,1
"1455","Rodions_Kurucs",81,228,"2019",20,"BRK","NBA","SF",63,1294,11,0.545,0.41,0.205,4.6,15.4,10,6,1.5,1.5,13.6,18.4,0.1,1.5,1.6,0.059,-2.9,0.3,-2.6,-0.2,1387,"BKN",63,36,27,20.5,8974,1.7,0.94,0.76,4.65,5.13,4.17,380,1618320,1699236,0
"1456","Rodions_Kurucs",81,228,"2020",21,"BRK","NBA","PF",39,501,8.4,0.554,0.485,0.209,3.8,15.8,10,9.4,1.6,0.5,19.3,15.1,-0.1,0.6,0.5,0.048,-3.9,0.9,-2.9,-0.1,1388,"BKN",39,13,26,12.8,5341.4,1.01,0.56,0.45,4.43,4.96,3.89,376,1699236,1780152,0
"1457","Skal_Labissiere",82,216,"2017",20,"SAC","NBA","PF",33,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,0.099,-0.9,-1.4,-2.3,0,1477,"SAC",33,9,24,18.5,6970.6,1.32,0.7,0.62,4.28,4.54,4.02,387,1188840,1242240,0
"1458","Skal_Labissiere",82,216,"2018",21,"SAC","NBA","PF",60,1240,14.3,0.513,0.111,0.258,8.7,18.1,13.2,9.1,1,3.7,12.5,21.1,0.4,1,1.4,0.054,-1.9,-0.8,-2.7,-0.2,1478,"SAC",60,19,41,20.7,7967.5,1.51,0.8,0.71,4.42,4.65,4.19,398,1312611,1544951,0
"1459","Skal_Labissiere",82,216,"2019",22,"TOT","NBA","PF",22,176,12.6,0.593,0.265,0.347,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16,0.1,0.2,0.3,0.089,-2.9,-0.1,-3,0,1479,"POR",22,12,10,8,3303.6,0.63,0.34,0.29,4.31,4.51,4.1,389,1544951,2338847,0
"1465","Jeremy_Lamb",77,185,"2017",24,"CHO","NBA","SG",62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,0.115,0.5,0.1,0.5,0.7,770,"CHA",62,27,35,18.4,7139.9,1.35,0.74,0.61,4.42,4.69,4.15,153,6511628,7e+06,0
"1466","Jeremy_Lamb",77,185,"2018",25,"CHO","NBA","SG",80,1967,17,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3,1.9,4.9,0.12,1.3,0.2,1.6,1.8,771,"CHA",80,36,44,24.6,9535.3,1.81,0.98,0.83,4.42,4.72,4.1,155,7e+06,7488372,0
"1467","Jeremy_Lamb",77,185,"2019",26,"CHO","NBA","SG",79,2250,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2,5.3,0.113,1.2,0,1.2,1.8,772,"CHA",79,38,41,28.5,11591,2.2,1.21,0.99,4.35,4.74,3.96,165,7488372,0,1
"1468","Jeremy_Lamb",77,185,"2020",27,"IND","NBA","SG",46,1291,14.1,0.547,0.33,0.23,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,0.9,1.8,2.7,0.099,-1.1,0.7,-0.4,0.5,773,"IND",46,27,19,28.1,10964.8,2.08,1.11,0.97,4.16,4.37,3.94,120,10500000,10500000,0
"1469","Romeo_Langford",76,216,"2020",20,"BOS","NBA","SG",27,298,6,0.465,0.359,0.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,-0.1,0.3,0.2,0.039,-4.5,-0.1,-4.6,-0.2,1398,"BOS",27,19,8,11,4481.9,0.85,0.44,0.41,4.28,4.35,4.2,252,3458400,3631200,0
"1470","Nicolas_Laprovittola",76,180,"2017",27,"SAS","NBA","PG",18,174,8.4,0.579,0.574,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,0,0.2,0.2,0.044,-3.2,-0.8,-3.9,-0.1,1252,"SAS",18,15,3,9.7,3841.7,0.73,0.4,0.32,4.53,4.89,4.15,461,543471,0,1
"1474","Shane_Larkin",71,175,"2018",25,"BOS","NBA","PG",54,775,10.3,0.491,0.393,0.169,2.1,10.7,6.5,18.5,1.9,0.2,12.3,15.5,0.3,1.1,1.4,0.087,-2.8,1.1,-1.7,0.1,1464,"BOS",51,36,15,14.6,5629.9,1.07,0.57,0.5,4.41,4.51,4.3,351,1524305,0,1
"1477","Joffrey_Lauvergne",83,220,"2017",25,"TOT","NBA","PF-C",70,980,12.6,0.509,0.292,0.217,8,20.2,14.1,10.8,1.3,0.5,13.2,18.5,0.4,1.1,1.5,0.075,-1.5,-0.7,-2.2,-0.1,817,"CHI",70,41,29,14,5155.3,0.98,0.52,0.45,4.19,4.52,3.88,323,1709720,0,1
"1478","Joffrey_Lauvergne",83,220,"2018",26,"SAS","NBA","C",55,534,16.5,0.536,0.026,0.247,13,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-0.4,-0.6,-1,0.1,818,"SAS",55,30,25,9.7,3608.8,0.68,0.37,0.32,4.24,4.52,3.94,345,1524305,1656092,0
"1487","Ty_Lawson",71,195,"2017",29,"SAC","NBA","PG",69,1732,15.4,0.551,0.226,0.416,3,8.9,6,29.9,2.2,0.3,17.3,19.5,2.2,1,3.2,0.088,-0.2,-0.8,-1,0.4,1618,"SAC",69,25,44,25.1,9099.3,1.72,0.91,0.81,4.13,4.35,3.91,370,1315448,0,1
"1488","Jake_Layman",80,209,"2017",22,"POR","NBA","SF",35,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,-0.4,0.1,-0.3,-0.054,-5.2,-1.2,-6.4,-0.3,678,"POR",35,16,19,7.1,2765.4,0.52,0.3,0.23,4.43,4.88,3.95,456,6e+05,905249,0
"1489","Jake_Layman",80,209,"2018",23,"POR","NBA","SF",35,160,4.9,0.352,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2,9.4,14.6,-0.3,0.2,-0.1,-0.021,-4.8,0.4,-4.3,-0.1,679,"POR",35,22,13,4.6,1831.8,0.35,0.2,0.15,4.57,5,4.16,399,1312611,1544951,0
"1490","Jake_Layman",80,209,"2019",24,"POR","NBA","SF",71,1327,13.5,0.594,0.427,0.167,4.6,12.6,8.7,5.6,1.1,1.8,9.2,15.9,1.9,1.2,3.1,0.111,-0.1,-0.3,-0.5,0.5,680,"POR",71,46,25,18.7,7860.7,1.49,0.84,0.65,4.48,4.86,4.07,394,1544951,0,1
"1491","Jake_Layman",80,209,"2020",25,"MIN","NBA","PF",23,505,10.3,0.544,0.402,0.179,3.4,8.7,6,4.4,1.6,1.6,11.1,17.7,0,0.3,0.3,0.029,-2.7,-1,-3.7,-0.2,681,"MIN",23,11,12,22,9215.5,1.75,0.95,0.8,4.41,4.81,4,240,3581986,3761085,0
"1503","Courtney_Lee",77,215,"2017",31,"NYK","NBA","SG",77,2459,12.2,0.559,0.382,0.139,2.3,9,5.7,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,-0.7,-0.2,-0.9,0.7,273,"NYK",77,29,48,31.9,11943.1,2.26,1.19,1.07,4.25,4.42,4.08,92,11242000,11747890,0
"1504","Courtney_Lee",77,215,"2018",32,"NYK","NBA","SG",76,2310,13,0.564,0.368,0.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.082,-0.1,-0.2,-0.3,1,274,"NYK",75,26,49,30.4,11557.1,2.19,1.16,1.03,4.33,4.48,4.18,103,11747890,12253780,0
"1505","Courtney_Lee",77,215,"2019",33,"TOT","NBA","SG",34,428,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-2.5,-0.1,275,"DAL",34,6,28,12.6,5065.3,0.96,0.51,0.45,4.28,4.6,3.99,107,12253780,12759670,0
"1506","Courtney_Lee",77,215,"2020",34,"DAL","NBA","SG",24,345,10.9,0.629,0.573,0.085,2.2,7.4,4.9,4.7,2.5,1.5,11.4,11.9,0.3,0.4,0.7,0.098,-2.1,1.6,-0.5,0.1,276,"DAL",23,14,9,14.5,5696,1.08,0.57,0.5,4.18,4.26,4.09,99,12759670,0,1
"1509","Damion_Lee",77,210,"2020",27,"GSW","NBA","SG",49,1423,12.7,0.548,0.468,0.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19,0.9,0.8,1.7,0.058,-1.5,-0.8,-2.3,-0.1,301,"GSW",49,12,37,29,12636.7,2.39,1.31,1.08,4.61,5.14,4.1,467,842327,1762796,0
"1515","Alex_Len",84,250,"2017",23,"PHO","NBA","C",77,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.2,5.1,15.5,17.6,1.2,1.7,3,0.091,-2.4,0.1,-2.3,-0.1,35,"PHX",75,20,55,20.4,7467.6,1.41,0.75,0.67,4.17,4.54,3.83,201,4823621,0,1
"1517","Alex_Len",84,250,"2019",25,"ATL","NBA","C",77,1544,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,0,-1.3,-1.2,0.3,36,"ATL",77,28,49,20.1,8007.7,1.52,0.81,0.71,4.23,4.59,3.88,227,4350000,4160000,0
"1518","Alex_Len",84,250,"2020",26,"TOT","NBA","C",49,895,18,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3,37,"SAC",48,15,33,18.3,7205,1.36,0.74,0.62,4.16,4.47,3.84,224,4160000,0,1
"1523","Meyers_Leonard",84,260,"2017",24,"POR","NBA","PF",74,1222,8.9,0.507,0.563,0.106,2.4,19.1,10.8,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,0.053,-2.6,-0.6,-3.3,-0.4,1166,"POR",74,37,37,16.5,5597.9,1.06,0.57,0.49,3.86,4.05,3.66,115,9213484,9904495,0
"1524","Meyers_Leonard",84,260,"2018",25,"POR","NBA","C",33,254,17.8,0.676,0.333,0.141,5.2,24.7,15,10.6,1.4,0,10.8,16.1,0.7,0.3,1.1,0.2,1,0.9,2,0.3,1167,"POR",33,17,16,7.7,2805.2,0.53,0.29,0.24,4.13,4.27,3.96,124,9904495,10595506,0
"1525","Meyers_Leonard",84,260,"2019",26,"POR","NBA","C",61,878,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14,14.8,2.1,0.9,3,0.164,1.5,0.3,1.8,0.8,1168,"POR",61,35,26,14.4,5274.1,1,0.54,0.45,3.89,3.98,3.78,127,10595506,11286515,0
"1526","Meyers_Leonard",84,260,"2020",27,"MIA","NBA","C",49,987,11.1,0.64,0.534,0.117,3.2,24.1,14.1,7.7,0.6,1.5,13,12,1,1.1,2.1,0.104,-1,0.4,-0.6,0.3,1169,"MIA",49,34,15,20.1,7256.5,1.37,0.75,0.63,3.86,4.03,3.68,116,11286515,0,1
"1532","Jon_Leuer",82,228,"2017",27,"DET","NBA","PF",75,1944,14.2,0.551,0.259,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,2.5,2,4.5,0.112,-0.4,0.3,-0.1,1,832,"DET",75,34,41,25.9,10119.1,1.92,1.03,0.89,4.44,4.81,4.09,100,10991957,10497319,0
"1533","Jon_Leuer",82,228,"2018",28,"DET","NBA","PF",8,136,8.9,0.505,0.083,0.417,5.6,20.7,13,5.3,0.4,2,14.1,16.1,0,0.1,0.1,0.05,-4.3,-0.3,-4.6,-0.1,833,"DET",8,5,3,17.1,7201.1,1.36,0.76,0.6,4.78,5.24,4.3,118,10497319,10002681,0
"1534","Jon_Leuer",82,228,"2019",29,"DET","NBA","PF",41,402,13.2,0.616,0.097,0.274,7.1,19.8,13.2,5.5,1.5,0.8,15.4,16.1,0.4,0.5,0.9,0.11,-2.8,0.4,-2.5,0,834,"DET",41,16,25,9.8,4149.9,0.79,0.44,0.34,4.46,4.76,4.14,132,10002681,9508043,0
"1538","DeAndre_Liggins",78,209,"2017",28,"TOT","NBA","SG",62,777,7.5,0.476,0.324,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,-0.4,0.9,0.5,0.031,-4.5,2.4,-2.2,0,366,"DAL",62,40,22,12.5,4927.2,0.93,0.47,0.47,4.48,4.42,4.55,409,1015696,1087745,0
"1539","DeAndre_Liggins",78,209,"2018",29,"TOT","NBA","SG",58,724,6,0.467,0.5,0.047,1.1,10.6,5.9,8.4,2.5,1.6,15.6,7.9,-0.2,0.7,0.5,0.034,-4.3,1.8,-2.5,-0.1,367,"NOP",57,34,23,12.4,4752.5,0.9,0.44,0.46,4.46,4.41,4.51,342,1577230,0,1
"1544","Damian_Lillard",74,195,"2017",26,"POR","NBA","PG",75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5,4.8,297,"POR",75,38,37,35.9,13144.8,2.49,1.41,1.08,4.17,4.66,3.67,10,24328425,26153057,0
"1545","Damian_Lillard",74,195,"2018",27,"POR","NBA","PG",73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7,0.3,7.2,6.3,298,"POR",73,44,29,36.6,13335.6,2.53,1.42,1.11,4.16,4.52,3.77,13,26153057,27977689,0
"1546","Damian_Lillard",74,195,"2019",28,"POR","NBA","PG",80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6,299,"POR",80,51,29,35.5,13330.3,2.52,1.45,1.08,3.99,4.4,3.54,14,27977689,29802321,0
"1547","Damian_Lillard",74,195,"2020",29,"POR","NBA","PG",58,2140,26.2,0.619,0.493,0.377,1.5,10.5,6.1,34.1,1.3,0.8,11,30.2,8.9,0.7,9.6,0.215,7.9,-0.7,7.2,5,300,"POR",57,26,31,36.9,14005.4,2.65,1.5,1.15,4.04,4.44,3.6,21,29802321,31626953,0
"1554","Jeremy_Lin",75,200,"2017",28,"BRK","NBA","PG",36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,0.116,1.9,0.1,2,0.9,774,"BKN",35,13,22,24.5,9497.7,1.8,0.98,0.82,4.41,4.97,3.88,90,11483254,1.2e+07,0
"1555","Jeremy_Lin",75,200,"2018",29,"BRK","NBA","PG",1,25,15.9,0.597,0.167,0.583,0,0,0,27.1,0,0,16.6,31.3,0,0,0,0.087,-1,-4.4,-5.4,0,775,"BKN",1,0,1,25.2,10502,1.99,1.07,0.92,4.8,5.02,4.54,101,1.2e+07,12516746,0
"1556","Jeremy_Lin",75,200,"2019",30,"TOT","NBA","PG",74,1436,13.5,0.558,0.346,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.4,-0.9,-2.2,-0.1,776,"TOR",74,31,43,19.4,8183.5,1.55,0.84,0.71,4.44,4.94,3.97,89,13768421,0,1
"1558","Shawn_Long",81,255,"2017",24,"PHI","NBA","C",18,234,24.1,0.595,0.174,0.321,19.3,20.8,20,10.7,1.9,3.1,9.5,25.4,0.6,0.3,0.9,0.195,2.3,-1.1,1.2,0.2,1470,"PHI",18,5,13,13,4775.7,0.9,0.48,0.43,4.2,4.48,3.92,521,65000,0,1
"1560","Kevon_Looney",81,220,"2017",20,"GSW","NBA","C",53,447,13.6,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3,12.2,13.4,0.7,0.8,1.4,0.155,-2.4,0.7,-1.7,0,968,"GSW",53,44,9,8.4,3223.7,0.61,0.33,0.28,4.35,4.53,4.14,388,1182840,1233840,0
"1561","Kevon_Looney",81,220,"2018",21,"GSW","NBA","C",66,910,14.8,0.588,0.026,0.399,11,15.2,13.2,6,1.8,4.9,12,12.4,1.5,1.3,2.8,0.145,-1.2,1,-0.2,0.4,969,"GSW",66,45,21,13.8,5374.8,1.02,0.54,0.48,4.46,4.75,4.18,368,1471382,2227081,0
"1562","Kevon_Looney",81,220,"2019",22,"GSW","NBA","C",80,1481,17.3,0.636,0.029,0.303,14.6,15.4,15,10.9,1.5,3,11.5,12.8,4.2,1.8,6,0.194,0.1,0.4,0.5,0.9,970,"GSW",80,56,24,18.5,7434.3,1.41,0.73,0.68,4.3,4.67,3.96,385,1567007,0,1
"1563","Kevon_Looney",81,220,"2020",23,"GSW","NBA","C",20,262,9.4,0.403,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0,0.005,-4.8,-0.8,-5.5,-0.2,971,"GSW",20,6,14,13.1,5163.8,0.98,0.53,0.45,4.22,4.48,3.95,217,4464286,4821429,0
"1572","Brook_Lopez",84,270,"2017",28,"BRK","NBA","C",75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,2.9,-0.6,2.3,2.4,177,"BKN",75,20,55,29.6,10535.7,2,1.06,0.94,4.05,4.35,3.76,25,21165675,22642350,0
"1573","Brook_Lopez",84,270,"2018",29,"LAL","NBA","C",74,1735,16.5,0.557,0.41,0.199,4.6,13.4,9,11.6,0.8,4.6,10.2,23.5,1.9,1.9,3.8,0.105,0.7,0.2,0.9,1.3,178,"LAL",74,34,40,23.4,8328.1,1.58,0.8,0.77,4.13,4.35,3.92,31,22642350,0,1
"1574","Brook_Lopez",84,270,"2019",30,"MIL","NBA","C",81,2322,14.6,0.597,0.651,0.169,1.5,15,8.7,5.7,1,6.5,8.9,16.7,2.3,4.3,6.7,0.138,0.4,1.8,2.2,2.4,179,"MIL",81,60,21,28.7,10537.2,2,1.07,0.93,3.93,4.33,3.55,253,3382000,0,1
"1575","Brook_Lopez",84,270,"2020",31,"MIL","NBA","C",61,1622,14,0.537,0.497,0.212,2.7,13.2,8.3,7.8,1.2,8,9.2,17.5,0.8,3.9,4.6,0.137,-1.1,2.8,1.8,1.5,180,"MIL",60,49,11,26.6,9833.1,1.86,0.99,0.88,3.96,4.42,3.55,108,12093024,12697675,0
"1584","Robin_Lopez",84,275,"2017",28,"CHI","NBA","C",81,2271,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10,17.5,1.8,2.4,4.3,0.09,-1.4,-0.8,-2.2,-0.1,1383,"CHI",81,40,41,28,10038.1,1.9,1.03,0.87,4.08,4.3,3.84,70,13219250,13788500,0
"1585","Robin_Lopez",84,275,"2018",29,"CHI","NBA","C",64,1690,14.7,0.552,0.022,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-0.9,-1.3,-2.2,-0.1,1384,"CHI",64,23,41,26.4,9845.9,1.86,1,0.86,4.24,4.59,3.92,84,13788500,14357750,0
"1586","Robin_Lopez",84,275,"2019",30,"CHI","NBA","C",74,1606,15.9,0.598,0.058,0.23,9.4,10,9.7,8.8,0.3,4.2,14,18.6,2,0.7,2.7,0.081,-0.6,-1.4,-1.9,0,1385,"CHI",73,20,53,21.6,8240.8,1.56,0.85,0.71,4.09,4.39,3.79,85,14357750,0,1
"1587","Robin_Lopez",84,275,"2020",31,"MIL","NBA","C",60,862,11.1,0.565,0.352,0.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,0.2,1.5,1.7,0.095,-2.4,0.5,-1.9,0,1386,"MIL",60,49,11,14.4,5541.2,1.05,0.57,0.48,4.24,4.63,3.85,209,4767000,5005350,0
"1596","Kevin_Love",80,251,"2017",28,"CLE","NBA","PF",60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4,2.4,6.4,0.163,3.3,-1.2,2.1,1.9,963,"CLE",60,40,20,31.4,11328.6,2.15,1.13,1.02,4.1,4.27,3.93,24,21165675,22642350,0
"1597","Kevin_Love",80,251,"2018",29,"CLE","NBA","C",59,1651,22.4,0.614,0.453,0.365,7,29.8,18.6,9.8,1.3,1.2,9.6,25.1,4.7,1.6,6.4,0.185,4.5,-1.3,3.3,2.2,964,"CLE",59,37,22,28,10488.8,1.99,1.05,0.94,4.27,4.46,4.09,30,22642350,24119025,0
"1598","Kevin_Love",80,251,"2019",30,"CLE","NBA","PF",22,598,19.5,0.561,0.519,0.403,5.9,40,22.2,12.8,0.5,0.7,11.2,27.4,1,0.4,1.3,0.106,3.3,-1.6,1.6,0.6,965,"CLE",22,7,15,27.2,10200,1.93,1.03,0.9,4.01,4.22,3.79,30,24119025,28900000,0
"1599","Kevin_Love",80,251,"2020",31,"CLE","NBA","PF",56,1780,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.2,3.8,0.102,2.6,-0.6,2.1,1.8,966,"CLE",56,16,40,31.8,11513.2,2.18,1.2,0.98,3.87,4.09,3.63,22,28900000,31300000,0
"1610","Kyle_Lowry",72,196,"2017",30,"TOR","NBA","PG",60,2244,22.9,0.623,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,7.8,2.3,10.1,0.216,5.8,0.4,6.1,4.6,1007,"TOR",59,35,24,37.5,13163.5,2.49,1.35,1.14,4.01,4.33,3.69,86,1.2e+07,1.2e+07,0
"1611","Kyle_Lowry",72,196,"2018",31,"TOR","NBA","PG",78,2510,19.5,0.598,0.631,0.276,3,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7,3.1,10.2,0.194,4.7,0.5,5.2,4.5,1008,"TOR",78,57,21,32.2,11844.8,2.24,1.23,1.02,4.21,4.62,3.8,6,28703704,3.1e+07,0
"1612","Kyle_Lowry",72,196,"2019",32,"TOR","NBA","PG",65,2213,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2,1.2,18.1,19.6,3.6,3,6.6,0.144,1.7,0.6,2.3,2.4,1009,"TOR",65,47,18,34,12649,2.4,1.32,1.08,3.95,4.4,3.52,7,31200000,33296296,0
