"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"675",675,"Jahlil_Okafor","2019","NOP",59,23,36,15.8,6350.4,1.2,0.65,0.56,4.3,4.61,3.99,387,1567007,1702486,0,"NOP",24,28,15.2,3.1,0.4,2.6,1.7,0.8,14,86,90.6,41.5
"678",678,"Jake_Layman","2017","POR",35,16,19,7.1,2765.4,0.52,0.3,0.23,4.43,4.88,3.95,456,6e+05,905249,0,"POR",24,35,4.6,0.3,0.1,0.3,0.2,0.1,16.7,83.3,87.5,25
"679",679,"Jake_Layman","2018","POR",35,22,13,4.6,1831.8,0.35,0.2,0.15,4.57,5,4.16,399,1312611,1544951,0,"POR",25,71,18.7,1.3,0.3,1,0.6,0.2,20,80,84,26
"680",680,"Jake_Layman","2019","POR",71,46,25,18.7,7860.7,1.49,0.84,0.65,4.48,4.86,4.07,394,1544951,0,1,"MIN",26,23,22,2.6,0.2,2.4,1.1,0.3,6.7,93.3,83.9,22.6
"682",682,"Jakob_Poeltl","2017","TOR",53,37,16,11.7,4605.1,0.87,0.46,0.41,4.47,4.66,4.28,273,2703960,2825640,0,"TOR",22,82,18.6,5.1,0.9,4.1,2.8,1,18.8,81.2,89.8,32.4
"683",683,"Jakob_Poeltl","2018","TOR",82,59,23,18.6,7591.2,1.44,0.75,0.68,4.68,4.99,4.37,260,2825640,2947320,0,"SAS",23,77,16.5,4.6,0.7,3.9,2.7,1,15.6,84.4,87.4,32.8
"684",684,"Jakob_Poeltl","2019","SAS",77,43,34,16.5,6790.4,1.29,0.69,0.6,4.48,4.75,4.21,272,2947320,3754886,0,"SAS",24,58,16.6,3,0.3,2.6,1.8,0.8,11.6,88.4,94.5,40.9
"685",685,"Jalen_Brunson","2019","DAL",73,27,46,21.8,9121.7,1.73,0.95,0.77,4.45,4.78,4.09,449,1230000,1416582,0,"DAL",23,57,17.9,0.5,0,0.5,0.3,0.1,6.9,93.1,75,20
"689",689,"Jamal_Crawford","2017","LAC",82,51,31,26.3,9242.8,1.75,0.95,0.81,4,4.19,3.79,69,13253012,14264988,0,"MIN",38,80,20.7,0.2,0,0.2,0.1,0,0,100,100,11.1
"690",690,"Jamal_Crawford","2018","MIN",80,45,35,20.7,7318,1.39,0.75,0.63,4.03,4.21,3.83,109,10942762,2304226,0,"PHX",39,64,18.9,0.4,0,0.4,0.2,0.1,0,100,93.3,20
"691",691,"Jamal_Crawford","2018","MIN",80,45,35,20.7,7318,1.39,0.75,0.63,4.03,4.21,3.83,213,4328000,4544400,0,"PHX",39,64,18.9,0.4,0,0.4,0.2,0.1,0,100,93.3,20
"694",694,"Jamal_Murray","2017","DEN",81,39,42,21.6,8736.7,1.65,0.9,0.75,4.6,5.06,4.15,249,3210840,3355320,0,"DEN",21,81,31.7,1.5,0,1.5,0.9,0.2,2.5,97.5,88.8,16.3
"695",695,"Jamal_Murray","2018","DEN",81,46,35,31.7,12617.9,2.39,1.33,1.06,4.6,5.14,4.07,236,3355320,3499800,0,"DEN",22,75,32.6,1.1,0.1,1,0.7,0.2,6.3,93.7,90.9,21.8
"696",696,"Jamal_Murray","2019","DEN",75,49,26,32.6,13481.2,2.55,1.46,1.09,4.4,4.97,3.82,247,3499800,4444746,0,"DEN",23,55,32.8,0.8,0.1,0.8,0.5,0.1,8.5,91.5,96.6,17.2
"698",698,"Jameer_Nelson","2017","DEN",74,33,41,27.3,9485.4,1.8,1,0.8,3.96,4.37,3.54,208,4540525,4736050,0,"DET",36,50,20.3,0.7,0,0.7,0.5,0.1,0,100,92,24
"700",700,"James_Harden","2017","HOU",81,54,27,36.4,11875.4,2.25,1.18,1.07,3.72,4.07,3.4,5,26540100,28299339,0,"HOU",28,72,35.4,2.2,0.1,2.1,1.3,0.2,3.2,96.8,91.1,12.9
"701",701,"James_Harden","2018","HOU",72,59,13,35.4,11466.6,2.17,1.17,1,3.69,3.97,3.41,9,28299399,30431854,0,"HOU",29,78,36.8,2.6,0.1,2.6,1.4,0.5,2.4,97.6,90.5,30.2
"702",702,"James_Harden","2019","HOU",78,51,27,36.8,12495.2,2.37,1.31,1.06,3.63,3.96,3.29,10,30431854,37800000,0,"HOU",30,61,36.7,1.6,0,1.6,1,0.2,2,98,95.4,21.5
"704",704,"James_Johnson","2017","MIA",76,40,36,27.4,10243,1.94,1.09,0.85,4.25,4.65,3.84,218,4e+06,0,1,"MIA",31,73,26.6,4.1,0.4,3.7,1.7,0.5,9.4,90.6,82.4,26.4
"705",705,"James_Johnson","2018","MIA",72,36,36,26.6,9955.1,1.89,1.02,0.87,4.26,4.53,3.97,83,13954000,14651700,0,"MIA",32,55,21.2,2.1,0.1,1.9,1,0.4,7,93,77.9,29.4
"706",706,"James_Johnson","2019","MIA",55,27,28,21.2,8106.6,1.54,0.84,0.69,4.06,4.39,3.72,83,14651700,15349400,0,"MIN",33,32,19.4,1.9,0,1.9,0.9,0.2,1.6,98.4,83.3,19.4
"709",709,"James_Michael McAdoo","2017","GSW",52,43,9,8.8,3478.6,0.66,0.34,0.32,4.5,4.72,4.29,421,980431,0,1,"PHI",25,3,6,1.3,0.3,1,0.7,0,25,75,100,0
"711",711,"James_Young","2017","BOS",29,16,13,7.6,2915.2,0.55,0.29,0.26,4.36,4.52,4.2,317,1825200,0,1,"PHI",22,6,10.2,0.7,0,0.7,0.2,0,0,100,100,0
"712",712,"JaMychal_Green","2017","MEM",77,40,37,27.3,10156.3,1.92,1.03,0.89,4.24,4.41,4.06,419,980431,0,1,"MEM",28,55,28,6.9,2.4,4.5,3.2,1.2,35.4,64.6,82.1,32.1
"713",713,"JaMychal_Green","2019","LAC",65,31,34,21.1,8529.1,1.62,0.87,0.75,4.27,4.51,4.02,162,7866667,0,1,"LAC",29,55,20.5,2.8,0.4,2.4,1.6,0.6,13.5,86.5,88.8,34.7
"715",715,"Jared_Dudley","2017","PHX",64,17,47,21.3,7678.1,1.45,0.8,0.66,4.13,4.65,3.62,103,10470000,1e+07,0,"PHX",32,48,14.3,2.9,0.1,2.8,1.6,0.2,2.2,97.8,90.5,13.1
"716",716,"Jared_Dudley","2018","PHX",48,7,41,14.3,5261.9,1,0.54,0.46,4.17,4.76,3.66,121,1e+07,9530000,0,"BKN",33,59,20.7,4.4,0.2,4.2,2.5,0.4,4.6,95.4,86.4,13
"717",717,"Jared_Dudley","2019","BKN",59,28,31,20.7,8006.2,1.52,0.86,0.65,4.09,4.53,3.63,139,9530000,0,1,"LAL",34,40,7.8,1.1,0.1,1.1,0.8,0.1,4.5,95.5,90.9,15.2
"720",720,"Jarell_Eddie","2017","PHX",5,0,5,12.5,4844,0.92,0.49,0.43,4.45,4.81,4.11,497,175000,0,1,"CHI",26,3,2.9,0,0,0,0,0,0,0,0,0
"721",721,"Jarell_Martin","2017","MEM",42,23,19,13.3,5278.8,1,0.54,0.46,4.52,4.8,4.24,373,1286160,1341600,0,"MEM",24,73,22.7,4,0.4,3.5,1.9,0.6,11,89,88.6,28.5
"722",722,"Jarell_Martin","2018","MEM",73,21,52,22.8,9058.4,1.72,0.93,0.78,4.56,4.87,4.25,364,1471382,2416222,0,"ORL",25,42,7.8,1.1,0.2,0.9,0.5,0.2,20.8,79.2,81.5,33.3
"725",725,"Jarred_Vanderbilt","2019","DEN",17,10,7,4.1,1725.2,0.33,0.18,0.15,4.5,4.83,4.18,463,838464,1663861,0,"MIN",21,11,4.2,0.5,0,0.5,0.2,0.1,0,100,100,50
"727",727,"Jarrett_Allen","2018","BKN",70,24,46,20,7830.7,1.48,0.83,0.65,4.46,4.88,4.01,328,1713720,2034120,0,"BKN",21,80,26.2,5.1,0.5,4.6,2.5,1.1,9.3,90.7,91,41.4
"728",728,"Jarrett_Allen","2019","BKN",80,42,38,26.2,10389.4,1.97,1.1,0.87,4.23,4.7,3.75,334,2034120,2376840,0,"BKN",22,64,25.7,3.5,0.3,3.1,1.7,1.1,10,90,91.7,56.2
"731",731,"Jarrett_Jack","2017","NOP",2,1,1,16.5,5831.5,1.1,0.58,0.53,3.99,4.55,3.83,485,5e+05,0,1,"NYK",34,62,25,0.7,0.1,0.7,0.4,0.1,8.9,91.1,84.4,12.5
"732",732,"Jarrett_Jack","2017","NOP",2,1,1,16.5,5831.5,1.1,0.58,0.53,3.99,4.55,3.83,343,1551659,0,1,"NYK",34,62,25,0.7,0.1,0.7,0.4,0.1,8.9,91.1,84.4,12.5
"735",735,"Jason_Smith","2017","WAS",74,45,29,14.4,5554.5,1.05,0.56,0.49,4.38,4.68,4.09,192,5e+06,5225000,0,"WAS",32,33,8.6,2.6,0.4,2.2,1,0.4,14.1,85.9,81,28.6
"736",736,"Jason_Smith","2018","WAS",33,15,18,8.6,3356.5,0.64,0.34,0.3,4.53,4.88,4.18,192,5225000,5450000,0,"NOP",33,20,9.5,3.1,0.3,2.9,1.6,0.5,8.1,91.9,82.1,23.1
"738",738,"Jason_Terry","2017","MIL",74,37,37,18.4,6980.5,1.32,0.69,0.64,4.31,4.56,4.07,334,1551659,0,1,"MIL",40,51,16,0.6,0,0.6,0.3,0,0,100,100,5.6
"739",739,"JaVale_McGee","2017","GSW",77,62,15,9.6,3609.3,0.68,0.35,0.33,4.28,4.65,3.97,358,1403611,0,1,"GSW",30,65,9.5,2.9,0.5,2.3,1.4,0.5,18.7,81.3,88.7,33
"740",740,"JaVale_McGee","2018","GSW",65,45,20,9.5,3531.8,0.67,0.34,0.33,4.31,4.56,4.05,303,2116955,0,1,"LAL",31,75,22.3,5.4,0.7,4.8,2.5,1,12,88,89,36.8
"741",741,"JaVale_McGee","2019","LAL",75,35,40,22.3,8571.1,1.62,0.84,0.78,4.12,4.39,3.87,306,2393887,0,1,"LAL",32,61,16.8,2.1,0.2,1.8,1.1,0.6,11.1,88.9,88,46.7
"744",744,"Jawun_Evans","2018","LAC",48,24,24,16.2,6718.9,1.27,0.64,0.63,4.72,4.99,4.48,447,815615,1378242,0,"OKC",22,8,8,0.1,0,0.1,0,0,0,100,0,0
"747",747,"Jaylen_Brown","2017","BOS",78,50,28,17.2,6764.6,1.28,0.67,0.61,4.47,4.74,4.2,203,4743000,4956480,0,"BOS",21,70,30.7,2.6,0.2,2.3,1.3,0.5,9.4,90.6,86.7,34.3
"748",748,"Jaylen_Brown","2018","BOS",67,44,23,30.6,11787.9,2.23,1.16,1.08,4.38,4.55,4.22,203,4956480,5169960,0,"BOS",22,74,25.9,1.7,0.2,1.6,0.9,0.3,9.3,90.7,85.3,29.3
"749",749,"Jaylen_Brown","2019","BOS",74,41,33,25.9,10450.5,1.98,1,0.98,4.29,4.52,4.08,211,5169960,6534829,0,"BOS",23,50,34,1.6,0.1,1.6,1,0.3,4.9,95.1,94.1,25.5
"752",752,"Jayson_Tatum","2018","BOS",77,50,27,30.7,11253.9,2.13,1.14,0.99,4.18,4.46,3.89,184,5645400,6700800,0,"BOS",21,79,31.1,1.4,0.1,1.3,0.7,0.2,5.6,94.4,80.3,22.7
"753",753,"Jayson_Tatum","2019","BOS",79,48,31,31.1,12037.4,2.28,1.21,1.07,4.14,4.48,3.81,180,6700800,7830000,0,"BOS",22,59,34.6,1.2,0.1,1.2,0.6,0.3,4.1,95.9,90.2,41.5
"755",755,"Jeff_Green","2017","ORL",69,26,43,22.2,7674.2,1.45,0.76,0.7,3.96,4.15,3.77,58,1.5e+07,0,1,"CLE",31,78,23.4,3.5,0.3,3.1,1.5,0.3,9.2,90.8,86,17.6
"756",756,"Jeff_Green","2018","CLE",78,47,31,23.4,8263,1.56,0.8,0.76,4.01,4.18,3.86,305,2116955,0,1,"WAS",32,77,27.2,3.5,0.2,3.3,1.6,0.4,4.9,95.1,83.4,22.5
"757",757,"Jeff_Green","2019","WAS",76,28,48,27.3,9804.4,1.86,0.96,0.89,3.81,4.06,3.57,300,2393887,0,1,"HOU",33,40,18.9,2.3,0,2.3,1.1,0.3,1.1,98.9,95.8,20.8
"761",761,"Jeff_Teague","2017","IND",81,42,39,32.5,11134.9,2.11,1.12,0.99,3.9,4.2,3.6,120,8800000,0,1,"MIN",30,70,33,0.5,0,0.5,0.3,0,0,100,91.7,8.3
"762",762,"Jeff_Teague","2018","MIN",70,41,29,33,11194.9,2.12,1.14,0.98,3.86,4.03,3.68,46,1.9e+07,1.9e+07,0,"MIN",31,42,30.1,0.4,0,0.4,0.2,0,0,94.1,100,0
"763",763,"Jeff_Teague","2019","MIN",42,23,19,30.1,10413.5,1.97,1.07,0.9,3.67,3.95,3.39,51,1.9e+07,1.9e+07,0,"ATL",31,59,24.8,0.3,0,0.3,0.2,0,0,100,100,18.2
"765",765,"Jeff_Withey","2017","UTA",51,33,18,8.5,3243.3,0.61,0.35,0.27,4.34,4.63,4.01,403,1015696,0,1,"DAL",28,10,3.9,0.7,0,0.7,0.3,0.1,0,100,100,33.3
"766",766,"Jerami_Grant","2017","OKC",80,43,37,19.1,7227.4,1.37,0.72,0.65,4.31,4.64,4,418,980431,1051245,0,"OKC",24,81,20.3,4.1,0.3,3.8,1.6,0.4,6.7,93,82.5,20.8
"767",767,"Jerami_Grant","2018","OKC",80,48,32,20.3,7811.3,1.48,0.78,0.7,4.37,4.71,4.05,346,1524305,0,1,"OKC",25,80,32.7,5.1,0.2,4.9,2.2,0.4,3.7,96.1,94.1,17.3
"768",768,"Jerami_Grant","2019","OKC",79,47,32,32.6,13190.6,2.5,1.32,1.17,4.31,4.93,3.77,146,8653847,9346153,0,"DEN",26,64,26.2,2.1,0.2,1.9,0.9,0.2,8.8,91.2,85.3,17.6
"770",770,"Jeremy_Lamb","2017","CHA",62,27,35,18.4,7139.9,1.35,0.74,0.61,4.42,4.69,4.15,153,6511628,7e+06,0,"CHA",26,80,24.6,0.5,0.1,0.5,0.4,0.1,9.8,90.2,100,29
"771",771,"Jeremy_Lamb","2018","CHA",80,36,44,24.6,9535.3,1.81,0.98,0.83,4.42,4.72,4.1,155,7e+06,7488372,0,"CHA",27,79,28.5,0.7,0.1,0.6,0.4,0.2,9.4,90.6,85,32.5
