"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"2166","Mike_Scott",79,237,"2018",29,"WAS","NBA","PF",76,1406,13.6,0.599,0.311,0.145,4,15.8,9.9,9.1,0.8,0.6,12.4,20,1.4,1,2.5,0.085,-0.6,-1.1,-1.7,0.1,1197,"WAS",76,39,37,18.5,1.35,4.42,329,1709538,1,"PHI",30,79,17.7,3.6,0.3,3.3,1.6,0.5,8.7,91.3,88.4,28.1,"PHI",44,35,17.7,5.8,25.9,14,0.7,1.51,0.68,0.224,0.6,0.5,0.9,0.311,0.556,0.735
"2167","Mike_Scott",79,237,"2019",30,"TOT","NBA","PF",79,1395,8.6,0.528,0.6,0.079,3.4,17.2,10.5,6.4,0.9,0.7,9.2,14.4,0.4,1.2,1.6,0.053,-1.9,-0.7,-2.5,-0.2,1198,"PHI",79,44,35,17.7,1.36,4.3,228,4320500,1,"PHI",31,63,17.8,2.3,0.3,2,1.3,0.6,13.7,86.3,88.9,43.3,"PHI",37,26,17.8,5.7,25.6,13.2,0.6,1.45,0.4,0.222,0.7,0.4,1.3,0.217,0.556,0.679
"2179","Thabo_Sefolosha",78,220,"2017",32,"ATL","NBA","SF",62,1596,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3,1.7,11.9,13.3,0.6,2.7,3.3,0.098,-2.1,2.5,0.4,1,1535,"ATL",62,32,30,25.7,1.86,4.35,227,3850000,1,"UTA",34,38,21.2,3.3,0.3,3,1.6,0.5,9.7,90.3,83.6,23.3,"UTA",16,22,21.2,8.2,34.2,20.9,1.1,1.97,1.04,0.24,1.1,0.1,1.6,0.775,0,0.814
"2180","Thabo_Sefolosha",78,220,"2018",33,"UTA","NBA","SF",38,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1,1.6,2.6,0.156,0.2,2.5,2.7,0.9,1536,"UTA",38,16,22,21.2,1.54,4.38,191,5250000,0,"UTA",35,50,12.2,1.8,0.1,1.7,0.9,0.2,6.5,93.5,93.6,23.4,"UTA",28,21,12.2,3.9,18.4,9.1,0.6,1.9,1.01,0.211,0.2,0.1,0.4,1.111,1.5,0.909
"2181","Thabo_Sefolosha",78,220,"2019",34,"UTA","NBA","SF",50,609,12.1,0.599,0.523,0.148,1.4,20.1,10.9,6.1,3.4,0.7,13.6,12.9,0.2,1.2,1.5,0.115,-1.6,3.1,1.5,0.5,1537,"UTA",49,28,21,12.2,0.94,4.38,209,5250000,1,"HOU",36,41,10.6,1.5,0,1.5,0.7,0.2,1.6,98.4,82.9,25.7,"HOU",27,14,10.6,2.2,12.8,5.7,0.3,1.64,0.67,0.176,0.3,0,0.7,0.455,0,0.7
"2184","Wayne_Selden",77,230,"2018",23,"MEM","NBA","SG",35,692,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.9,-2.2,-3.1,-0.2,1666,"MEM",35,10,25,19.8,1.4,4.28,392,1312611,0,"CHI",24,75,19.2,1.1,0,1.1,0.5,0.1,1.2,98.8,78.3,13,"CHI",27,48,19.2,6.9,23.5,17,1,2.58,1.89,0.291,0.3,0.1,0.6,0.696,0.333,0.6
"2202","Ramon_Sessions",75,190,"2017",30,"CHO","NBA","PG",50,811,12.4,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.7,0.3,12.7,20.1,0.3,0.6,0.9,0.055,-2,-0.4,-2.4,-0.1,1344,"CHA",50,23,27,16.2,1.13,4.18,168,6e+06,0,"WAS",32,28,14,0.1,0,0.1,0,0,0,100,100,0,"WAS",10,18,14,4.9,32,11.7,2.7,5,4.74,0.152,0.2,0,0.3,1.167,0,0.444
"2204","Collin_Sexton",73,190,"2019",20,"CLE","NBA","PG",82,2605,12,0.52,0.245,0.211,2.3,8,5,15.3,0.8,0.2,12.3,25.2,-0.1,-0.5,-0.6,-0.011,-1.4,-3.3,-4.7,-1.8,265,"CLE",82,19,63,31.8,2.31,4.14,234,4068600,0,"CLE",21,65,33,0.4,0,0.3,0.3,0.1,8.3,91.7,100,17.6,"CLE",19,46,33,20.8,62.5,26.6,4.7,4.47,4.07,0.332,1.1,0.1,1.9,0.843,0,0.976
"2210","Ben_Simmons",82,230,"2018",21,"PHI","NBA","PG",81,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,2,2.5,4.5,4.5,126,"PHI",80,51,29,33.8,2.54,4.51,170,6168840,0,"PHI",22,79,34.2,1.9,0.5,1.4,0.8,0.4,25.3,74.7,86.7,40,"PHI",50,28,34.2,16.9,87.1,27.1,6.4,4.4,3.39,0.194,3,4.4,6,0.374,0.45,0.82
"2211","Ben_Simmons",82,230,"2019",22,"PHI","NBA","PG",79,2700,20,0.582,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,4.6,3.6,8.2,0.146,2.2,1.3,3.6,3.8,127,"PHI",78,50,28,34.1,2.53,4.17,184,6434520,0,"PHI",23,54,35.8,0.7,0.3,0.4,0.3,0.2,42.1,57.9,85.7,57.1,"PHI",33,21,35.7,16.7,92.2,30.1,7.2,4.7,3.8,0.181,2.8,3.7,5.8,0.447,0.371,0.856
"2214","Jonathon_Simmons",78,195,"2017",27,"SAS","NBA","SG",78,1392,9.9,0.504,0.242,0.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18,-0.1,2.1,2,0.068,-3.7,1.1,-2.6,-0.2,849,"SAS",77,60,17,17.9,1.28,4.31,435,874636,1,"ORL",28,69,29.4,1.5,0.1,1.4,0.7,0,9.6,90.4,84.2,5.3,"ORL",21,48,29.4,13.9,42.3,30.4,2.5,3.48,2.87,0.329,0.9,0.7,1.4,0.508,0.56,0.704
"2215","Jonathon_Simmons",78,195,"2018",28,"ORL","NBA","SG",69,2029,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5,850,"ORL",69,21,48,29.4,2.13,4.38,165,6300000,0,"PHI",29,56,19,0.7,0.1,0.7,0.4,0.1,7.3,92.7,88.5,11.5,"PHI",23,31,18.9,6.5,25.9,17.8,1.5,3.43,2.65,0.25,0.3,0.3,0.9,0.467,0.611,0.604
"2218","Anfernee_Simons",75,181,"2019",19,"POR","NBA","SG",20,141,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0,13.6,24.3,0,0,0.1,0.02,-1.5,-3.7,-5.3,-0.1,79,"POR",20,17,3,7,0.55,4.35,351,1835520,0,"POR",20,65,21.5,0.2,0,0.2,0.1,0,0,100,90,10,"POR",28,37,21.5,8.8,31.8,14,2.1,3.89,3.36,0.277,0.2,0,0.5,0.417,0,0.774
"2224","Kyle_Singler",80,228,"2017",28,"OKC","NBA","SF",32,385,5.9,0.486,0.446,0.205,2.3,11.5,6.9,3.2,0.9,1,10.8,11.2,0,0.3,0.3,0.034,-4.1,-0.2,-4.3,-0.2,1015,"OKC",32,15,17,12,0.88,4.4,198,4837500,0,"OKC",30,12,4.9,0.4,0,0.4,0.3,0,0,100,100,0,"OKC",5,6,3.3,1.3,4.8,3.6,0.1,1.85,1.45,0.264,0.2,0,0.5,2,0,1.2
"2228","Marcus_Smart",75,227,"2017",22,"BOS","NBA","SG",79,2399,12,0.486,0.443,0.334,3.7,10.4,7.1,22,2.6,1.2,15.6,18.8,0.5,2.7,3.2,0.064,-1.9,0.6,-1.3,0.4,1110,"BOS",79,51,28,30.4,2.02,4,233,3578880,0,"BOS",24,54,29.9,2.9,0.6,2.3,1.5,0.3,20.3,79.7,75.7,15.9,"BOS",35,16,30.1,10.3,57.8,30.8,3.7,3.84,3.11,0.179,0.6,1.5,1.6,0.586,0.32,0.536
"2229","Marcus_Smart",75,227,"2018",23,"BOS","NBA","SG",54,1614,10.8,0.479,0.483,0.258,3,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-2.1,1,-1.2,0.3,1111,"BOS",51,35,16,30.1,2.05,4.1,208,4538020,1,"BOS",25,80,27.5,2.5,0.5,2,1.4,0.3,18,82,84.4,15.6,"BOS",48,32,27.5,8.9,46.6,23.8,2.6,3.39,2.59,0.19,0.6,1,1.7,0.409,0.341,0.534
"2230","Marcus_Smart",75,227,"2019",24,"BOS","NBA","SG",80,2200,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.116,-1.2,2,0.8,1.5,1112,"BOS",80,48,32,27.5,1.99,4.09,117,11660716,0,"BOS",26,53,32.5,1.6,0.1,1.6,1,0.3,3.5,96.5,87.3,25.4,"BOS",34,19,32.5,13.5,59.4,29.8,3.5,3.53,2.81,0.227,0.7,1,1.5,0.385,0.431,0.402
"2241","Ish_Smith",72,175,"2017",28,"DET","NBA","PG",81,1955,14.7,0.477,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,0.9,2.2,3.1,0.076,-0.5,0.8,0.3,1.1,648,"DET",81,37,44,24.1,1.84,4.58,167,6e+06,0,"DET",29,82,24.9,0.5,0,0.4,0.2,0,5.3,94.7,69,6.9,"DET",39,43,24.9,10.9,62.8,19.1,5.2,4.95,5.09,0.173,0.3,0,0.8,0.435,0,0.726
"2242","Ish_Smith",72,175,"2018",29,"DET","NBA","PG",82,2043,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,0.102,-0.3,0.3,0,1,649,"DET",82,39,43,24.9,2.01,4.88,174,6e+06,0,"DET",30,56,22.3,0.6,0,0.6,0.4,0.1,0,100,92.3,23.1,"DET",33,23,22.3,8.9,53.8,18.6,4.5,5.04,5.02,0.166,0.2,0,0.5,0.444,0,0.077
"2243","Ish_Smith",72,175,"2019",30,"DET","NBA","PG",56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.6,-0.3,-2,0,650,"DET",56,33,23,22.3,1.79,4.52,192,6e+06,1,"WAS",31,60,26.2,0.5,0,0.4,0.3,0.1,3.7,96.3,88.9,16.7,"WAS",22,38,26.2,10.5,59.7,19.6,4.4,4.41,4.38,0.175,0.2,0,0.5,0.444,0,0.552
"2268","Jason_Smith",84,240,"2017",30,"WAS","NBA","C",74,1068,13.6,0.598,0.237,0.155,6.8,20.4,13.6,5,1,4.2,14.2,16.7,1,1.3,2.3,0.103,-2.1,0.4,-1.8,0.1,735,"WAS",74,45,29,14.4,1.05,4.38,192,5e+06,0,"WAS",32,33,8.6,2.6,0.4,2.2,1,0.4,14.1,85.9,81,28.6,"WAS",15,18,8.6,3.4,15.6,8.6,0.4,1.36,0.25,0.219,1,0.2,1.1,0.313,0,0.703
"2269","Jason_Smith",84,240,"2018",31,"WAS","NBA","C",33,285,8.8,0.455,0.278,0.183,7.2,13.9,10.5,7.4,0.5,4,11.4,21.7,-0.2,0.3,0,0.003,-5.4,-1,-6.4,-0.3,736,"WAS",33,15,18,8.6,0.64,4.53,192,5225000,0,"NOP",33,20,9.5,3.1,0.3,2.9,1.6,0.5,8.1,91.9,82.1,23.1,"NOP",10,10,9.5,3.3,18.6,9.1,0.4,1.24,0.25,0.175,0.9,0.2,1.5,0.278,1.333,0.552
"2271","Zhaire_Smith",75,199,"2019",19,"PHI","NBA","SG",6,111,9.5,0.533,0.471,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0,0.1,0.1,0.048,-2.8,-2.2,-5,-0.1,1711,"PHI",6,2,4,18.4,1.5,4.58,285,2611800,0,"PHI",20,7,4.6,0.1,0,0.1,0,0,0,100,0,0,"PHI",3,4,4.6,1.1,3.6,2.9,0.1,1.66,0.76,0.32,0,0,0.3,0,0,1
"2276","Tony_Snell",78,213,"2017",25,"MIL","NBA","SG",80,2336,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,2.1,1.3,3.4,0.071,-1,-0.7,-1.7,0.2,1579,"MIL",80,42,38,29.2,1.95,4.02,286,2368327,1,"MIL",26,75,27.4,2.6,0,2.6,1.2,0.1,1,99,83.5,4.6,"MIL",42,32,27.4,6.8,25.7,16.7,0.7,1.58,0.75,0.266,0.3,0,0.4,0.792,0,0.714
"2277","Tony_Snell",78,213,"2018",26,"MIL","NBA","SG",75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1,1580,"MIL",74,42,32,27.4,1.84,4.06,125,9821429,0,"MIL",27,74,17.6,1.1,0,1.1,0.6,0.1,1.3,98.7,87.2,10.6,"MIL",55,19,17.6,6,20.3,12.6,0.6,1.89,1.04,0.296,0.5,0,0.6,0.471,0,0.783
"2278","Tony_Snell",78,213,"2019",27,"MIL","NBA","SF",74,1304,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-1,0.3,-0.7,0.4,1581,"MIL",74,55,19,17.6,1.32,4.2,126,10607143,0,"DET",28,59,27.8,1.6,0,1.6,0.6,0.1,0,100,84.4,13.3,"DET",18,40,27.8,8,35.4,23.3,1.2,2.01,0.91,0.225,0.3,0,0.2,0.471,0,0.615
"2281","Omari_Spellman",80,245,"2019",21,"ATL","NBA","PF",46,805,12.4,0.516,0.525,0.184,9.2,16.3,12.7,8,1.5,2.7,10.5,14.9,0.6,0.5,1.2,0.07,-0.5,-0.7,-1.2,0.2,1279,"ATL",46,15,31,17.5,1.4,4.46,378,1620480,0,"MIN",22,49,18.1,1.9,0.3,1.6,1.1,0.5,18.3,81.7,90.2,39.3,"MIN",11,38,18.1,7.6,27.9,19.5,0.8,1.72,0.55,0.271,1.7,2.5,2.6,0.373,0.377,0.711
"2291","Lance_Stephenson",78,230,"2017",26,"TOT","NBA","SG",18,361,9.6,0.485,0.167,0.108,1.2,14.8,8,24.8,0.7,0.7,17.1,18.7,-0.2,0.2,0.1,0.008,-3.4,-0.6,-4,-0.2,1028,"IND",18,8,10,20.1,1.32,3.94,375,1227286,1,"IND",27,82,22.6,0.8,0.2,0.7,0.5,0.1,22.9,77.1,88.1,16.7,"IND",48,34,22.6,9.2,36.9,22.3,2.5,4.03,3.32,0.25,0.2,0.1,0.8,0.8,0.571,0.754
"2292","Lance_Stephenson",78,230,"2018",27,"IND","NBA","SG",82,1850,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2,1.8,0.046,-1.5,-0.3,-1.8,0.1,1029,"IND",82,48,34,22.6,1.52,4.06,216,4180000,0,"LAL",28,68,16.5,0.8,0,0.7,0.4,0.1,5.7,94.3,96.8,32.3,"LAL",33,35,16.5,7.2,28.1,13.6,1.8,3.9,3.34,0.257,0.3,0.1,0.7,0.435,1.25,0.809
"2313","Jayson_Tatum",80,204,"2018",19,"BOS","NBA","SF",80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,0,1.2,1.2,2,752,"BOS",77,50,27,30.7,2.13,4.18,184,5645400,0,"BOS",21,79,31.1,1.4,0.1,1.3,0.7,0.2,5.6,94.4,80.3,22.7,"BOS",48,31,31.1,15.7,45.3,28.5,2,2.7,1.83,0.347,1.1,1.5,2.2,0.81,0.718,0.819
"2314","Jayson_Tatum",80,204,"2019",20,"BOS","NBA","SF",79,2455,15.1,0.547,0.3,0.22,3,17.7,10.4,10,1.6,2.1,9.7,22.1,1.6,3.4,5,0.097,-0.4,0.2,-0.2,1.1,753,"BOS",79,48,31,31.1,2.28,4.14,180,6700800,0,"BOS",22,59,34.6,1.2,0.1,1.2,0.6,0.3,4.1,95.9,90.2,41.5,"BOS",41,18,34.6,23.6,68.5,39.1,3.4,2.98,2.08,0.344,1.5,1.5,2.1,0.708,0.567,0.718
"2318","Isaiah_Taylor",75,170,"2017",22,"HOU","NBA","PG",4,52,0.3,0.19,0.286,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0,6.4,-0.1,0,0,-0.028,-6.9,-0.9,-7.8,-0.1,640,"HOU",4,3,1,13,0.91,4.28,534,50000,1,"ATL",23,67,17.4,0.4,0,0.4,0.3,0,0,100,90,15,"ATL",18,49,17.4,6.6,39.5,17.7,2.9,4.39,4.09,0.168,0.3,0,0.4,0.895,0,0.655
"2327","Jeff_Teague",75,195,"2017",28,"IND","NBA","PG",82,2657,19.2,0.574,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.3,-0.1,2.2,2.8,761,"IND",81,42,39,32.5,2.11,3.9,120,8800000,1,"MIN",30,70,33,0.5,0,0.5,0.3,0,0,100,91.7,8.3,"MIN",41,29,33,14.2,76,24.1,7.1,5.57,5.33,0.187,0.2,0.1,0.3,0.294,1.2,0.429
"2328","Jeff_Teague",75,195,"2018",29,"MIN","NBA","PG",70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,762,"MIN",70,41,29,33,2.12,3.86,46,1.9e+07,0,"MIN",31,42,30.1,0.4,0,0.4,0.2,0,0,94.1,100,0,"MIN",23,19,30.1,12.1,69.8,22.2,6.3,5.43,5.34,0.174,0.4,0.1,0.3,0.133,0.667,0.643
"2329","Jeff_Teague",75,195,"2019",30,"MIN","NBA","PG",42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,763,"MIN",42,23,19,30.1,1.97,3.67,51,1.9e+07,0,"ATL",31,59,24.8,0.3,0,0.3,0.2,0,0,100,100,18.2,"ATL",22,37,24.8,10.9,54.6,19.9,4.5,4.91,4.8,0.199,0.2,0.1,0.4,0.182,0.286,0.667
"2340","Garrett_Temple",77,195,"2017",30,"SAC","NBA","SG",65,1728,11.2,0.545,0.509,0.171,2.2,10.1,6.2,14.4,2.5,1.5,14.4,14.2,0.9,1.3,2.2,0.061,-1.5,0.8,-0.8,0.5,551,"SAC",65,25,40,26.6,1.89,4.27,129,8e+06,0,"SAC",32,65,24.8,0.8,0,0.8,0.4,0.1,0,100,90.3,12.9,"SAC",23,42,24.8,8.4,38.2,25.1,1.9,2.99,2.3,0.22,0.4,0,0.8,0.652,0,0.54
"2341","Garrett_Temple",77,195,"2018",31,"SAC","NBA","SG",65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2,552,"SAC",65,23,42,24.9,1.79,4.35,139,8e+06,0,"LAC",33,75,27.2,0.8,0,0.7,0.4,0.1,5.4,94.6,76.2,16.7,"LAC",37,38,27.2,7.8,36.1,25.4,1.5,2.45,1.67,0.216,0.6,0,0.8,0.548,0.667,0.825
"2342","Garrett_Temple",77,195,"2019",32,"TOT","NBA","SG",75,2040,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2,2.2,0.052,-3.3,0.5,-2.8,-0.4,553,"LAC",75,37,38,27.2,2.07,4.27,159,8e+06,1,"BKN",34,55,28.1,0.6,0,0.6,0.4,0.1,3.2,96.8,85.2,22.2,"BKN",26,29,28.1,10.3,38.9,22.7,1.7,2.69,2.01,0.264,0.3,0.1,0.7,0.375,0,0.474
"2344","Milos_Teodosic",77,196,"2018",30,"LAC","NBA","PG",45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.058,-0.3,-1.5,-1.7,0.1,1206,"LAC",45,29,16,25.2,1.81,4.32,177,6e+06,0,"LAC",32,15,10,0.3,0,0.3,0.3,0.1,0,100,100,20,"LAC",8,7,10,3.2,22.6,9.7,1.4,3.71,3.22,0.142,0,0,0.1,0,0,1
"2348","Daniel_Theis",80,215,"2018",25,"BOS","NBA","C",63,936,16.1,0.616,0.249,0.348,10.7,21.2,16,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,0.178,-2,2.3,0.3,0.5,309,"BOS",60,41,19,14.9,1.06,4.29,457,815615,0,"BOS",27,66,13.8,4.2,0.7,3.4,2.2,0.6,17.8,82.2,84.9,23.8,"BOS",38,28,13.8,5.7,22.3,14.8,0.5,1.4,0.33,0.255,1.5,0.3,3.4,0.54,0.571,0.92
"2349","Daniel_Theis",80,215,"2019",26,"BOS","NBA","C",66,908,17,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,-0.8,0.9,0,0.5,310,"BOS",66,38,28,13.8,1.03,4.19,434,1378242,1,"BOS",28,58,23.8,4.1,0.7,3.4,2.4,0.9,17.3,82.7,88.4,35.5,"BOS",37,21,23.8,9.3,35.3,24.6,0.9,1.52,0.39,0.263,2.9,0.2,5.9,0.6,0.429,0.979
"2356","Isaiah_Thomas",69,185,"2017",27,"BOS","NBA","PG",76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,10.9,1.6,12.5,0.234,7.8,-1.1,6.7,5.6,642,"BOS",76,51,25,33.8,2.33,4.14,150,6587132,0,"LAL",29,32,26.9,0.7,0,0.7,0.6,0,0,100,90,5,"LAL",15,17,26.9,15.2,56.8,22.7,4.6,4.83,4.45,0.267,0.3,0,0.3,0.875,0,0.545
"2357","Isaiah_Thomas",69,185,"2018",28,"TOT","NBA","PG",32,862,12.6,0.508,0.447,0.311,2.2,6.3,4.2,27.1,0.8,0.3,16.6,28.8,-0.1,0.3,0.2,0.009,-0.9,-3.9,-4.9,-0.6,643,"LAL",32,15,17,26.9,1.84,4.25,168,6261395,1,"DEN",30,12,15.1,0,0,0,0,0,0,0,0,0,"DEN",6,6,15.1,8.1,30.9,13.8,2.4,4.63,4.14,0.261,0.5,0,0.4,0,0,0
"2358","Isaiah_Thomas",69,185,"2019",29,"DEN","NBA","SG",12,181,7,0.437,0.434,0.273,3,4.8,3.9,18.6,1.4,0.5,14,30.4,-0.4,0.1,-0.3,-0.077,-4,-2.5,-6.5,-0.2,644,"DEN",12,6,6,15.1,1.09,4.02,336,2029463,1,"WAS",31,40,23.1,0.2,0,0.2,0.2,0,0,100,87.5,12.5,"WAS",14,26,23.1,12.2,53.1,21.2,3.8,4.25,3.69,0.23,0.2,0,0.3,1,0,0.636
"2365","Lance_Thomas",80,240,"2017",28,"NYK","NBA","PF",46,968,8.4,0.516,0.348,0.209,3.5,12.3,7.9,5,1.1,0.4,8.6,13.1,0.6,0.4,0.9,0.046,-2.4,-1.1,-3.5,-0.4,1031,"NYK",46,15,31,21,1.55,4.44,159,6191000,0,"NYK",30,73,18.5,2.4,0.3,2,1,0.3,14.4,85.6,82,22.5,"NYK",24,48,18.4,4.1,22.3,15.3,0.6,1.64,0.4,0.182,0.5,0.2,1.2,0.294,0.125,0.536
"2366","Lance_Thomas",80,240,"2018",29,"NYK","NBA","PF",73,1353,6.3,0.513,0.464,0.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,0.3,0.6,0.9,0.031,-3.2,-0.5,-3.7,-0.6,1032,"NYK",72,24,48,18.4,1.39,4.58,161,6655325,0,"NYK",31,46,17,3.4,0.2,3.2,1.7,0.5,7,93,87,23.9,"NYK",7,39,17,4.5,23.5,12.2,0.6,1.6,0.54,0.19,0.5,0.6,1,0.174,0.379,0.659
"2378","Klay_Thompson",78,215,"2017",26,"GSW","NBA","SG",78,2649,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8,26.1,4.2,2.9,7.1,0.129,2.4,-1.6,0.8,1.9,981,"GSW",78,66,12,34,2.46,4.36,46,16663575,0,"GSW",28,73,34.3,1.6,0.1,1.5,1.1,0.2,7,93,85.6,18.9,"GSW",55,18,34.3,20,47.7,36.5,1.7,2.13,1.38,0.42,1.6,1.1,2.1,0.843,0.7,0.815
"2379","Klay_Thompson",78,215,"2018",27,"GSW","NBA","SG",73,2506,16,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,0.094,1.7,-2.1,-0.4,1,982,"GSW",73,55,18,34.3,2.5,4.4,54,17826150,0,"GSW",29,78,34,1.1,0.1,1.1,0.7,0.2,6.7,93.3,84.6,23.1,"GSW",55,23,34,21.5,46.3,35.5,1.6,2.04,1.32,0.465,1.5,1.3,1.9,0.924,0.709,1.097
"2386","Tristan_Thompson",81,238,"2017",25,"CLE","NBA","C",78,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,7.3,0.149,0,-0.7,-0.7,0.7,1604,"CLE",78,50,28,29.9,2.14,4.3,55,15330435,0,"CLE",27,53,20.2,6.2,2,4.2,3.3,1.3,31.9,68.1,81.9,32.9,"CLE",27,26,20.2,5.8,28.2,12.9,0.7,1.52,0.44,0.205,1.9,0.5,5.7,0.466,0.385,0.717
"2387","Tristan_Thompson",81,238,"2018",26,"CLE","NBA","C",53,1072,13.6,0.569,0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1,-1.9,-2.9,-0.2,1605,"CLE",53,27,26,20.2,1.51,4.5,66,16400000,0,"CLE",28,43,27.9,8.5,1.7,6.8,3.8,1.7,20.4,79.6,83.2,37.1,"CLE",8,35,27.9,10.9,47.3,26.3,1.7,2.14,0.89,0.231,6,3.1,8.1,0.357,0.343,0.774
"2388","Tristan_Thompson",81,238,"2019",27,"CLE","NBA","C",43,1198,18.4,0.551,0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,1.4,-1.9,-0.5,0.4,1606,"CLE",43,8,35,27.9,2.01,4.15,62,17469565,0,"CLE",29,57,30.2,4.8,1.1,3.7,2.8,1.4,22.5,77.5,89,44.5,"CLE",19,38,30.2,12,53.5,32.8,1.8,2.04,0.77,0.224,3.9,2.5,10.5,0.379,0.444,0.753
"2398","Sindarius_Thornwell",77,215,"2018",23,"LAC","NBA","SG",73,1156,8.2,0.519,0.262,0.378,3.2,10,6.7,7.8,2,1.8,16.3,12.1,0.1,0.9,1,0.041,-3.4,1,-2.4,-0.1,1475,"LAC",73,36,37,15.8,1.2,4.55,448,815615,0,"LAC",24,64,4.9,0.2,0,0.2,0.1,0,9.1,90.9,100,25,"LAC",37,27,4.9,1,5,3,0.2,2.04,1.45,0.193,0.1,0,0.2,0.667,0,0.769
