"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"21",25,"Alan_Williams","2017","PHX",47,11,36,15.1,5514.8,1.04,0.54,0.51,4.21,4.55,3.89,437,874636,0,1,"PHX",5,1,4,14.1,4,23.4,15.6,0.6,1.66,0.54,0.171,5,2.2,2.8,0.16,0,0.643
"22",26,"Alan_Williams","2018","PHX",5,1,4,14.1,5076.2,0.96,0.52,0.44,4.1,4.3,3.9,175,6e+06,5520000,0,"BKN",5,1,4,5.1,3.6,12.6,6.6,0.3,1.3,0.28,0.286,1.6,0.6,2.2,0.5,0.667,1.273
"23",27,"Alec_Burks","2017","UTA",42,26,16,15.6,5751.6,1.09,0.58,0.51,4.22,4.33,4.07,107,10154495,10845506,0,"UTA",64,37,27,16.5,7.7,25.9,17.1,1.3,3,2.5,0.298,0.4,0,0.5,0.87,0,1.182
"24",28,"Alec_Burks","2018","UTA",64,37,27,16.5,6187,1.17,0.62,0.55,4.27,4.43,4.11,110,10845506,11536515,0,"SAC",64,19,45,21.5,8.8,35.7,21.4,1.9,3.21,2.56,0.246,0.3,0.3,0.8,0.333,0.667,1.135
"25",29,"Alec_Burks","2019","SAC",64,19,45,21.5,8499.9,1.61,0.87,0.74,4.22,4.39,4.05,120,11536515,0,1,"PHI",59,17,42,27.3,15.1,53.1,29.5,3.1,3.45,2.79,0.284,0.7,0.5,1,0.775,1,1.051
"27",31,"Alex_Abrines","2017","OKC",68,37,31,15.5,5935.7,1.12,0.6,0.53,4.38,4.7,4.07,169,5994764,5725000,0,"OKC",73,42,31,15.1,4.8,15,9.5,0.5,1.92,1.14,0.318,0.2,0,0.4,0.667,0,0.667
"28",32,"Alex_Abrines","2018","OKC",73,42,31,15.1,5785.4,1.1,0.55,0.54,4.35,4.48,4.24,183,5725000,5455236,0,"OKC",31,21,10,19,5.3,16.5,12.4,0.5,1.89,1.12,0.322,0.3,0,0.1,0.5,0,0
"31",35,"Alex_Len","2017","PHX",75,20,55,20.4,7467.6,1.41,0.75,0.67,4.17,4.54,3.83,201,4823621,0,1,"PHX",69,20,49,20.2,8.5,32.1,19,0.8,1.47,0.35,0.265,4,1.8,6.3,0.373,0.402,0.873
"32",36,"Alex_Len","2019","ATL",77,28,49,20.1,8007.7,1.52,0.81,0.71,4.23,4.59,3.88,227,4350000,4160000,0,"SAC",48,15,33,18.3,8.2,32.6,17.8,0.8,1.54,0.54,0.251,2.4,0.7,5.6,0.5,0.618,0.974
"34",38,"Alex_Poythress","2017","PHI",6,0,6,26.1,10594.3,2.01,1.09,0.91,4.59,5.11,4.16,543,35381,0,1,"IND",25,10,15,4.2,1,5.1,2.9,0.1,1.56,0.63,0.203,0.1,0,0.7,0.667,0,0.588
