"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"1304",1304,"Patrick_McCaw","2017","GSW",71,57,14,15.1,5744.1,1.09,0.57,0.52,4.32,4.6,4.06,477,543471,905249,0,"GSW",57,41,16,16.9,4,26.2,14.5,1.2,2.82,2.03,0.153,0.3,0,0.9,0.889,0,0.717
"1305",1305,"Patrick_McCaw","2018","GSW",57,41,16,16.9,6543.5,1.24,0.65,0.59,4.42,4.69,4.15,405,1312611,0,1,"TOR",29,17,12,13.7,2.6,16.2,9.3,0.6,2.14,1.38,0.157,0.1,0,0.4,0.667,0,0.364
"1307",1307,"Patrick_Patterson","2017","TOR",65,42,23,24.6,8760.2,1.66,0.89,0.77,4.06,4.36,3.76,163,6050000,0,1,"OKC",80,48,32,15.3,3.7,20.7,11.5,0.5,1.32,0.43,0.18,0.4,0.3,0.8,0.276,0.455,0.651
"1308",1308,"Patrick_Patterson","2018","OKC",80,48,32,15.3,5478.5,1.04,0.54,0.5,4.07,4.33,3.81,194,5192000,5451600,0,"OKC",62,39,23,13.7,3.7,19.2,8.2,0.4,1.21,0.27,0.192,0.5,0.4,1.2,0.357,0.84,0.63
"1309",1309,"Patrick_Patterson","2019","OKC",62,39,23,13.7,5634,1.07,0.57,0.5,4.33,4.84,3.86,201,5451600,5711200,0,"LAC",51,34,17,11.9,4.6,14.5,8.3,0.3,1.36,0.4,0.317,0.3,0.2,0.6,0.353,0.6,0.758
"1312",1312,"Patty_Mills","2018","SAS",82,47,35,25.7,10216.8,1.93,1.09,0.85,4.53,4.94,4.1,111,10714286,11571429,0,"SAS",82,48,34,23.3,9.9,42.7,16.3,3,4.2,4.4,0.232,0.4,0,0.4,0.4,0,0.829
"1313",1313,"Patty_Mills","2019","SAS",82,48,34,23.3,9806.3,1.86,1.04,0.82,4.49,5,3.98,118,11571429,12428571,0,"SAS",62,26,36,22.5,11.4,28.7,17.7,1.5,3.21,2.97,0.399,0.3,0,0.4,0.4,0,0.696
"1315",1315,"Pau_Gasol","2017","SAS",63,47,16,25.4,9091.1,1.72,0.95,0.78,4.09,4.37,3.78,53,15500000,16197500,0,"SAS",77,45,32,23.5,10.1,53.1,32.6,1.4,1.55,0.38,0.189,4.9,3.1,4.6,0.338,0.423,0.821
"1316",1316,"Pau_Gasol","2018","SAS",77,45,32,23.5,8469.4,1.6,0.88,0.72,4.1,4.36,3.83,68,1.6e+07,1.6e+07,0,"MIL",30,17,13,12,3.9,29.7,16.6,0.8,1.62,0.33,0.133,2.5,1.5,2.2,0.289,0.348,0.746
"1318",1318,"Paul_George","2017","IND",74,39,35,35.9,13175.2,2.5,1.32,1.18,4.17,4.47,3.89,32,18314532,19508958,0,"OKC",78,47,31,36.6,22,56.7,37.7,2.8,2.99,2.29,0.388,0.9,1,1.7,0.486,0.403,0.699
"1319",1319,"Paul_George","2018","OKC",78,47,31,36.6,13532.8,2.56,1.35,1.21,4.21,4.62,3.83,43,19508958,20703384,0,"OKC",76,45,31,36.9,28,59.7,36.2,3.4,3.39,2.64,0.469,2.1,1.5,2.1,0.764,0.586,0.801
"1320",1320,"Paul_George","2019","OKC",76,45,31,36.9,14221.8,2.69,1.4,1.29,4.09,4.59,3.65,8,30560700,33005556,0,"LAC",42,30,12,29.1,21,51.6,28.9,3,3.52,2.86,0.406,0.9,1.5,0.7,0.568,0.286,0.607
"1322",1322,"Paul_Millsap","2017","ATL",69,40,29,34,12267.6,2.32,1.22,1.1,4.12,4.42,3.83,29,20072033,21472407,0,"DEN",38,22,16,30.1,14.6,48.8,33,1.9,2.34,1.29,0.299,1.2,4.4,3.1,0.591,0.581,0.828
"1323",1323,"Paul_Millsap","2018","DEN",38,22,16,30.1,10541.3,2,1.07,0.93,4.11,4.39,3.82,3,31269231,29730769,0,"DEN",70,49,21,27.1,12.6,41.5,26.2,1.6,2.33,1.24,0.304,1.4,3.2,4.7,0.416,0.699,0.772
"1324",1324,"Paul_Millsap","2019","DEN",70,49,21,27.1,10282.4,1.95,1.05,0.9,4.05,4.26,3.83,12,29730769,30500000,0,"DEN",44,27,17,24.4,12,33.5,21.6,1.2,2.21,1.15,0.359,0.9,2.2,4.4,0.737,0.695,0.767
"1328",1328,"Paul_Zipser","2017","CHI",44,21,23,19.2,7443.4,1.41,0.77,0.64,4.42,4.78,4.06,449,750000,905249,0,"CHI",54,17,37,15.3,4,28.8,15.9,1,1.99,1.14,0.14,0.3,0.1,0.6,0.143,1,0.6
"1330",1330,"PJ_Dozier","2018","OKC",2,1,1,1.6,593.5,0.11,0.06,0.05,3.76,3.87,3.66,467,815615,0,1,"BOS",6,5,1,8.5,3.2,14.3,9,0.5,1.99,1.23,0.221,0.5,0,1,0,0,1.333
"1331",1331,"Quincy_Acy","2017","BKN",38,11,27,14.7,5419.8,1.03,0.55,0.47,4.21,4.58,3.84,398,1050961,1178992,0,"BKN",68,25,43,19.5,5.9,32.8,20,0.7,1.27,0.25,0.18,0.5,0.2,0.9,0.429,0.357,0.629
"1332",1332,"Quincy_Acy","2018","BKN",68,25,43,19.4,7096.9,1.34,0.75,0.6,4.16,4.51,3.79,331,1709538,0,1,"PHX",10,2,8,12.3,1.7,19.7,10.1,0.4,1.27,0.25,0.086,0.7,0.1,1.3,0.286,0,0.538
"1333",1333,"Quincy_Pondexter","2018","CHI",23,6,17,8.5,3291.3,0.62,0.33,0.3,4.39,4.74,4.07,224,3853931,0,1,"SAS",53,29,24,5.5,1.8,8.3,5,0.5,3.31,2.28,0.223,0.1,0,0.3,0.667,0,1.278
"1335",1335,"Quinn_Cook","2018","GSW",33,21,12,22.4,9242.2,1.75,0.97,0.78,4.75,5.27,4.22,489,25000,0,1,"GSW",74,49,25,14.3,6.9,33.1,16.3,2.1,3.77,3.78,0.208,0.2,0,0.4,0.75,0,0.741
"1336",1336,"Quinn_Cook","2019","GSW",74,49,25,14.3,5881.4,1.11,0.61,0.5,4.45,4.8,4.08,402,1544951,0,1,"LAL",38,30,8,10.8,4.8,16.9,8,1.2,4.27,4.42,0.284,0.1,0,0.2,2,0,0.857
"1338",1338,"Rajon_Rondo","2017","CHI",69,34,35,26.7,9776.3,1.85,0.99,0.86,4.17,4.39,3.95,66,1.4e+07,13397000,0,"NOP",65,41,24,26.2,8.3,69.3,25.3,4.7,4.08,3.44,0.119,0.6,0.1,1.1,0.158,0,0.377
"1339",1339,"Rajon_Rondo","2018","NOP",65,41,24,26.2,9897.2,1.87,0.98,0.89,4.29,4.67,3.95,238,3300000,0,1,"LAL",46,19,27,29.8,9.2,71.3,25.5,5.5,4.61,4.02,0.129,0.9,0.1,1.1,0.1,0,0.286
"1340",1340,"Rajon_Rondo","2018","NOP",65,41,24,26.2,9897.2,1.87,0.98,0.89,4.29,4.67,3.95,255,3e+06,0,1,"LAL",46,19,27,29.8,9.2,71.3,25.5,5.5,4.61,4.02,0.129,0.9,0.1,1.1,0.1,0,0.286
"1341",1341,"Rajon_Rondo","2019","LAL",46,19,27,29.8,11228.6,2.13,1.14,0.99,4.01,4.34,3.68,143,9e+06,0,1,"LAL",48,37,11,20.5,7.1,50.4,19.4,4.1,4.82,4.25,0.141,0.3,0.1,0.7,0.143,0,0.265
"1344",1344,"Ramon_Sessions","2017","CHA",50,23,27,16.2,5943.2,1.13,0.61,0.51,4.18,4.5,3.84,168,6e+06,6270000,0,"WAS",28,10,18,14,4.9,32,11.7,2.7,5,4.74,0.152,0.2,0,0.3,1.167,0,0.444
"1347",1347,"Rashad_Vaughn","2017","MIL",41,18,23,11.2,4301.3,0.81,0.43,0.39,4.38,4.51,4.24,318,1811040,1889040,0,"MIL",28,13,15,7.6,2.3,7.8,5.7,0.3,2.02,1.39,0.295,0.1,0,0.1,2,0,0.75
"1349",1349,"Raul_Neto","2017","UTA",40,24,16,8.7,3451.2,0.65,0.34,0.31,4.54,4.71,4.36,430,937800,1014746,0,"UTA",41,28,13,12.2,4.5,27.6,12.2,2.1,4.63,4.59,0.162,0.2,0,0.4,0.571,0,1
"1350",1350,"Raul_Neto","2018","UTA",41,28,13,12.2,4839,0.92,0.5,0.41,4.61,4.96,4.23,372,1471382,0,1,"UTA",37,26,11,12.8,5.3,29.6,13.1,2.1,4.18,4.41,0.179,0.2,0,0.3,0,0,0.364
"1351",1351,"Raul_Neto","2019","UTA",37,26,11,12.8,5475,1.04,0.57,0.46,4.53,5.04,4.01,330,2150000,2150000,0,"PHI",49,27,22,11.5,4.3,26.5,9.9,2.2,5.02,5.01,0.163,0.1,0,0.2,0.8,0,0.444
"1355",1355,"Raymond_Felton","2017","LAC",80,50,30,21.3,7976.7,1.51,0.78,0.73,4.28,4.33,4.22,337,1551659,0,1,"OKC",80,48,32,16.7,6.8,35.4,13.7,3.2,5.46,5.06,0.193,0.2,0,0.3,0.706,0,0.818
"1356",1356,"Raymond_Felton","2018","OKC",80,48,32,16.7,5953.4,1.13,0.58,0.54,4.05,4.24,3.86,284,2328652,0,1,"OKC",33,19,14,11.5,4.3,19.1,8.6,1.4,4.55,3.98,0.225,0.1,0,0.1,0,0,0
"1358",1358,"Reggie_Bullock","2017","DET",31,13,18,15.1,5832.4,1.1,0.59,0.52,4.41,4.75,4.11,293,2255644,0,1,"DET",62,32,30,27.9,11.3,30.2,25,0.8,1.66,0.66,0.372,0.6,0,1.7,0.65,0,0.858
"1359",1359,"Reggie_Bullock","2018","DET",62,32,30,27.9,10784.4,2.04,1.08,0.96,4.42,4.66,4.16,270,2500000,2500000,0,"LAL",63,27,36,29.8,11.3,38.9,29.3,1.1,1.69,0.74,0.29,0.6,0,0.9,0.556,2,0.607
"1360",1360,"Reggie_Bullock","2019","LAL",63,27,36,29.8,12082.5,2.29,1.26,1.02,4.29,4.55,4.01,293,2500000,0,1,"NYK",29,9,20,23.6,8.1,33,24.3,1,1.86,0.8,0.244,0.5,0,1,0.857,2,0.893
"1362",1362,"Reggie_Jackson","2017","DET",52,23,29,27.4,10113.4,1.92,1.03,0.89,4.21,4.57,3.85,59,14956522,1.6e+07,0,"DET",45,27,18,26.7,14.6,68.8,22.8,6.3,5.53,5.26,0.212,0.3,0.1,0.7,0.571,0.5,0.485
"1363",1363,"Reggie_Jackson","2018","DET",45,27,18,26.7,10090.3,1.91,1.05,0.86,4.32,4.67,3.95,67,1.6e+07,17043478,0,"DET",82,41,41,27.9,15.4,69.4,26.1,5.4,4.69,4.21,0.221,0.4,0.2,0.6,0.417,0.467,0.627
"1364",1364,"Reggie_Jackson","2019","DET",82,41,41,27.9,10912.8,2.07,1.17,0.89,4.2,4.55,3.8,64,17043478,18086956,0,"LAC",23,11,12,24.2,12.8,55.9,20.4,4.8,5.11,4.68,0.229,0.4,0.1,0.6,0,0,0.857
"1368",1368,"Richard_Jefferson","2017","CLE",79,50,29,20.4,7024.2,1.33,0.68,0.66,3.92,3.95,3.89,279,2500000,2500000,0,"DEN",20,10,10,8.2,1.5,9,6.3,0.3,2.33,1.26,0.168,0.1,0,0.8,0,0,0.6
"1370",1370,"Richaun_Holmes","2017","PHI",57,16,41,20.9,7762,1.47,0.78,0.69,4.22,4.5,3.94,402,1025831,1014746,0,"PHI",47,30,17,15.5,6.6,27.6,18.7,0.7,1.42,0.42,0.238,3.9,0.4,4,0.159,0.444,1.032
"1371",1371,"Richaun_Holmes","2018","PHI",47,30,17,15.5,5765.3,1.09,0.57,0.52,4.23,4.5,3.98,374,1471382,1600520,0,"PHX",70,16,54,16.9,8.2,23.7,15.2,0.6,1.65,0.46,0.345,3.2,0.6,5.3,0.537,0.61,1.016
"1372",1372,"Richaun_Holmes","2019","PHX",70,16,54,16.9,6468.9,1.23,0.65,0.58,4.03,4.19,3.85,381,1600520,0,1,"SAC",38,15,23,29.1,13,36.3,21.2,0.9,1.41,0.32,0.358,4.3,1.1,8.4,0.782,0.512,1.116
"1374",1374,"Ricky_Rubio","2017","MIN",75,28,47,32.9,12392.7,2.35,1.28,1.07,4.28,4.54,4.01,67,13550000,14250000,0,"UTA",77,44,33,29.3,13.1,77.2,33,5.9,4.61,4.36,0.17,0.5,0,0.4,0.343,0,0.235
"1375",1375,"Ricky_Rubio","2018","UTA",77,44,33,29.3,11389.6,2.16,1.21,0.94,4.45,4.89,3.99,78,14275000,14975000,0,"UTA",67,40,27,27.9,12.7,72.9,31.9,5.4,4.45,4.1,0.174,0.4,0,0.5,0.267,0,0.412
"1376",1376,"Ricky_Rubio","2019","UTA",67,40,27,27.9,11221.8,2.13,1.19,0.93,4.31,4.84,3.77,80,14975000,0,1,"PHX",56,24,32,31.5,12.8,79.6,24.9,7,5.26,4.84,0.161,0.5,0.1,0.5,0.462,0.667,0.286
"1379",1379,"Robert_Covington","2017","PHI",67,27,40,31.6,11829.7,2.24,1.22,1.02,4.26,4.61,3.9,404,1015696,1087745,0,"PHI",79,51,28,31.7,12.7,46.9,30,1.1,1.44,0.47,0.271,0.8,0.1,1.5,0.468,0.571,0.78
"1380",1380,"Robert_Covington","2018","PHI",79,51,28,31.7,11878.7,2.25,1.18,1.07,4.27,4.65,3.92,343,1577230,0,1,"MIN",35,20,15,34.4,13.3,39.9,25.2,1.1,1.73,0.68,0.333,0.6,0.1,1.1,0.9,0,0.9
"1381",1381,"Robert_Covington","2019","MIN",35,20,15,34.4,13265.7,2.51,1.31,1.2,4.1,4.29,3.91,130,10464092,11301219,0,"HOU",62,23,39,30.1,12.8,50.7,23.4,1.3,1.59,0.53,0.253,0.7,0,1.6,0.683,0,0.97
"1383",1383,"Robin_Lopez","2017","CHI",81,40,41,28,10038.1,1.9,1.03,0.87,4.08,4.3,3.84,70,13219250,13788500,0,"CHI",64,23,41,26.4,11.8,34.9,28.8,1.1,1.84,0.74,0.338,6.4,4.1,6.8,0.537,0.41,0.843
"1384",1384,"Robin_Lopez","2018","CHI",64,23,41,26.4,9845.9,1.86,1,0.86,4.24,4.59,3.92,84,13788500,14357750,0,"CHI",73,20,53,21.6,9.5,28.5,21.1,1,2.01,0.83,0.333,3.6,4,4.6,0.54,0.761,0.892
"1385",1385,"Robin_Lopez","2019","CHI",73,20,53,21.6,8240.8,1.56,0.85,0.71,4.09,4.39,3.79,85,14357750,0,1,"MIL",60,49,11,14.4,5.5,15.4,10.9,0.4,1.68,0.58,0.358,1.2,1.5,2.1,0.608,0.707,0.835
"1387",1387,"Rodions_Kurucs","2019","BKN",63,36,27,20.5,8974,1.7,0.94,0.76,4.65,5.13,4.17,380,1618320,1699236,0,"BKN",39,13,26,12.8,4.2,18.2,9.4,0.5,1.73,0.86,0.228,0.3,0.1,1.1,0.6,0,0.905
"1389",1389,"Rodney_Hood","2017","UTA",59,40,19,27,10071,1.91,1.06,0.85,4.25,4.53,3.95,354,1406520,2386864,0,"CLE",60,29,31,26.9,14.7,37.8,27.8,1.9,3.03,2.26,0.389,0.5,0.2,0.7,0.844,0.917,0.581
"1390",1390,"Rodney_Hood","2018","CLE",60,29,31,26.9,10203.4,1.93,1.04,0.89,4.31,4.62,4.01,279,2386864,0,1,"POR",72,29,43,26.3,11.2,34.5,23.9,1.6,2.87,2.08,0.324,0.4,0.6,0.5,0.452,0.783,0.919
"1391",1391,"Rodney_Hood","2019","POR",72,29,43,26.3,10369.3,1.96,1.12,0.85,4.2,4.55,3.82,248,3472887,0,1,"POR",21,8,13,29.5,11,34.3,20.3,1.6,2.73,1.73,0.319,0.1,1.1,0.7,0,0.792,0.714
"1393",1393,"Rodney_McGruder","2017","MIA",78,40,38,25.2,10253.5,1.94,1.05,0.89,4.63,4.87,4.38,471,543471,905249,0,"MIA",18,11,7,16.6,5.1,19.4,13.7,0.6,1.91,1.11,0.261,0.5,0,1.4,0.444,0,0.885
"1394",1394,"Rodney_McGruder","2018","MIA",18,11,7,16.6,6745.2,1.28,0.68,0.6,4.62,4.85,4.39,413,1312611,1544951,0,"LAC",66,31,35,23.5,7.6,31.9,19.8,1.3,2.39,1.79,0.239,0.6,0,1.4,0.25,0,0.62
"1395",1395,"Rodney_McGruder","2019","LAC",66,31,35,23.5,10130.2,1.92,1.06,0.86,4.57,5.01,4.12,398,1544951,0,1,"LAC",50,33,17,15,3.2,14,7.5,0.5,2.05,1.35,0.227,0.2,0,0.7,0.545,0,0.559
"1399",1399,"Ron_Baker","2017","NYK",52,14,38,16.5,6553.5,1.24,0.67,0.57,4.52,4.91,4.15,467,543471,0,1,"NYK",28,11,17,13.1,2.1,19.2,12.2,0.9,2.95,2.41,0.112,0.1,0,0.4,0.5,0,1
"1400",1400,"Ron_Baker","2018","NYK",28,11,17,13.1,5483.2,1.04,0.56,0.48,4.78,5.25,4.32,212,4328000,4544400,0,"WAS",15,4,11,10.1,0.9,15.1,6.2,0.9,3.59,3.31,0.062,0.2,0,0.3,0.667,0,0.6
"1402",1402,"Rondae_HollisJefferson","2017","BKN",77,19,58,22.6,9024.6,1.71,0.91,0.8,4.55,4.97,4.15,360,1395600,1455720,0,"BKN",66,25,41,28,13.8,59.8,34.1,2.1,2.07,1.2,0.231,2.3,4.2,4.2,0.572,0.535,0.7
"1403",1403,"Rondae_HollisJefferson","2018","BKN",66,25,41,28.1,11067.7,2.1,1.14,0.96,4.49,4.8,4.19,370,1471382,2470357,0,"BKN",59,27,32,20.9,8.9,43.4,21.6,1.5,2.03,1.15,0.206,2.2,1.7,2.8,0.52,0.398,0.635
"1404",1404,"Rondae_HollisJefferson","2019","BKN",59,27,32,20.9,8536.9,1.62,0.89,0.73,4.32,4.7,3.93,296,2470357,0,1,"TOR",51,35,16,19.5,7.4,34.2,17.6,1.1,1.98,1.04,0.215,1.8,1.8,4.9,0.589,0.394,0.681
"1408",1408,"Royce_ONeale","2018","UTA",69,43,26,16.7,6440.5,1.22,0.66,0.56,4.44,4.72,4.13,452,815615,1378242,0,"UTA",81,50,31,20.5,5.2,25.5,17.3,0.9,2.11,1.48,0.206,0.1,0,0.5,0.909,0,0.767
"1409",1409,"Royce_ONeale","2019","UTA",81,50,31,20.5,8419.7,1.59,0.87,0.73,4.37,4.79,3.96,436,1378242,1618520,0,"UTA",64,41,23,29.1,6.3,46.1,25.5,1.3,1.63,0.77,0.136,0.4,0,0.5,0.75,0,0.571
"1411",1411,"Rudy_Gay","2017","SAC",30,11,19,33.8,12465,2.36,1.28,1.08,4.21,4.42,3.99,68,13333333,14263566,0,"SAS",57,36,21,21.6,11.5,40.1,21.9,1.6,2.44,1.39,0.287,1.6,3.1,2.3,0.404,0.701,0.955
"1412",1412,"Rudy_Gay","2018","SAS",57,36,21,21.6,8299.3,1.57,0.86,0.71,4.38,4.63,4.1,135,8406000,8826300,0,"SAS",69,42,27,26.7,13.7,49.2,24.8,2.3,2.85,1.71,0.279,0.9,2.4,1.6,0.397,0.673,0.872
"1413",1413,"Rudy_Gay","2019","SAS",69,42,27,26.7,10352.2,1.96,1.06,0.9,4.18,4.39,3.96,131,10087200,0,1,"SAS",59,24,35,21.3,10,36.2,18.7,1.4,2.37,1.25,0.277,0.7,1.5,1.4,0.548,0.5,1.038
"1415",1415,"Rudy_Gobert","2017","UTA",81,51,30,33.9,12638.4,2.39,1.32,1.07,4.25,4.53,3.96,302,2121288,21224719,0,"UTA",56,37,19,32.4,13.5,59.5,33.7,1.5,1.49,0.35,0.227,6.7,0.6,10.8,0.405,0.143,0.88
"1416",1416,"Rudy_Gobert","2018","UTA",56,37,19,32.4,12175.9,2.31,1.26,1.04,4.3,4.62,3.97,36,21974719,23491573,0,"UTA",80,50,30,31.8,16,59.6,32.6,1.5,1.47,0.36,0.268,4.8,0.7,12.2,0.521,0.273,1.05
"1417",1417,"Rudy_Gobert","2019","UTA",80,50,30,31.8,12466.7,2.36,1.28,1.09,4.19,4.53,3.85,35,23241573,25008427,0,"UTA",62,40,22,34.6,15.1,63,33.5,1.6,1.48,0.35,0.239,4.5,0.8,11,0.596,0.447,1.029
"1420",1420,"Russell_Westbrook","2017","OKC",81,46,35,34.6,12533.4,2.37,1.28,1.09,4.13,4.72,3.61,3,26540100,28530608,0,"OKC",78,47,31,36.4,25.3,96,30.6,9.1,5.72,5.34,0.263,1.2,0.9,2.1,0.696,0.58,0.675
"1421",1421,"Russell_Westbrook","2018","OKC",78,47,31,36.4,13246.1,2.51,1.35,1.16,4.14,4.67,3.66,8,28530608,30670404,0,"OKC",72,43,29,36,23,91.1,27,7.7,5.07,4.71,0.252,1.1,1.8,1.9,0.558,0.553,0.776
"1422",1422,"Russell_Westbrook","2019","OKC",72,43,29,36,13406.3,2.54,1.35,1.18,3.97,4.65,3.41,3,35654150,38178000,0,"HOU",53,34,19,35.9,27.5,76.9,31.7,5.7,4.47,4.23,0.357,0.7,1.1,2.2,0.541,0.404,0.644
"1424",1424,"Ryan_Anderson","2017","HOU",72,50,22,29.4,10319.9,1.95,1.04,0.92,4.01,4.38,3.66,30,18735364,19578455,0,"HOU",66,52,14,26.1,9.3,31,18.8,0.7,1.39,0.45,0.301,0.4,0.3,1.7,0.28,0.667,0.699
"1425",1425,"Ryan_Anderson","2018","HOU",66,52,14,26.1,9474.3,1.79,0.95,0.84,4.13,4.39,3.89,42,19578455,20421546,0,"MIA",25,7,18,12.9,2.5,25.7,14.3,0.6,1.5,0.43,0.098,0.4,0.4,0.5,0,0.545,0.385
"1426",1426,"Ryan_Anderson","2019","MIA",25,7,18,12.8,5072.8,0.96,0.55,0.41,4.2,4.56,3.83,44,20421546,15600000,0,"HOU",2,1,1,7,2.5,5,1.5,0.1,1.58,0,0.5,0,0,0,0,0,0
"1429",1429,"Ryan_Arcidiacono","2019","CHI",80,22,58,24.2,10088,1.91,1.03,0.88,4.45,4.78,4.12,447,1349383,0,1,"CHI",58,21,37,16,4.5,25,13.9,1.3,3.01,2.59,0.18,0.2,0,0.6,1,0,0.781
"1431",1431,"Ryan_Broekhoff","2019","DAL",42,15,27,10.8,4511.2,0.85,0.49,0.37,4.39,4.94,3.83,469,838464,1443842,0,"DAL",16,9,7,11.2,4.4,14.9,8.1,0.3,1.4,0.49,0.298,0.2,0,0.4,0,0,0
"1434",1434,"Salah_Mejri","2017","DAL",72,28,44,12.3,4551.8,0.86,0.46,0.4,4.21,4.22,4.18,441,874636,1014746,0,"DAL",61,21,40,11.9,3.5,17.3,9,0.4,1.45,0.33,0.202,1.9,0.2,3.2,0.342,0.833,0.809
"1435",1435,"Salah_Mejri","2018","DAL",61,21,40,11.9,4579.4,0.87,0.46,0.41,4.37,4.49,4.23,369,1471382,0,1,"DAL",36,13,23,11.1,3.9,21.1,12.1,0.5,1.53,0.34,0.186,1.6,0.1,2.4,0.25,0.5,0.897
"1437",1437,"Sam_Dekker","2017","HOU",77,52,25,18.4,7444.9,1.41,0.74,0.67,4.6,5.09,4.15,322,1720560,1794600,0,"LAC",73,36,37,12.1,4.2,18.4,9.8,0.5,1.67,0.86,0.225,0.3,0.1,1.4,1.273,0.333,0.879
"1438",1438,"Sam_Dekker","2018","LAC",73,36,37,12.1,5036.1,0.95,0.51,0.45,4.74,5.27,4.27,323,1794600,2760095,0,"WAS",46,13,33,16.7,6,23.6,13.5,0.7,1.84,1.03,0.256,0.5,0.2,1.9,0.72,0,0.828
"1441",1441,"Sean_Kilpatrick","2017","BKN",69,14,55,25.1,9454.7,1.79,0.95,0.84,4.29,4.69,3.91,424,980431,1051245,0,"CHI",52,22,30,12.3,6.3,17.9,11.8,0.9,3.09,2.53,0.354,0.3,0,0.3,0.625,0,0.692
"1445",1445,"Semi_Ojeleye","2018","BOS",70,47,23,16.2,6298.3,1.19,0.65,0.55,4.43,4.71,4.14,429,1291892,1378242,0,"BOS",56,39,17,10.6,3.3,13.7,7.3,0.4,1.74,0.78,0.243,0.3,0.1,0.7,0.714,0,1
"1446",1446,"Semi_Ojeleye","2019","BOS",56,39,17,10.6,4399.8,0.83,0.45,0.38,4.38,4.89,3.9,433,1378242,1618520,0,"BOS",61,41,20,14.6,3.1,17.9,7,0.5,1.58,0.57,0.175,0.3,0.1,0.7,0.5,0,0.622
"1448",1448,"Serge_Ibaka","2017","TOR",79,37,42,30.7,10909.7,2.07,1.1,0.97,4.07,4.35,3.79,80,12250000,0,1,"TOR",76,53,23,27.5,12.6,42.1,25.5,1.1,1.62,0.46,0.3,1.3,1.1,2.5,0.735,0.889,0.865
"1449",1449,"Serge_Ibaka","2018","TOR",76,53,23,27.5,10161.9,1.92,1.04,0.88,4.22,4.57,3.88,40,20061729,21666667,0,"TOR",74,53,21,27.2,15,47.1,28.2,1.3,1.63,0.44,0.319,3.9,2,5.7,0.842,0.655,0.959
"1450",1450,"Serge_Ibaka","2019","TOR",74,53,21,27.2,10211.7,1.93,1.04,0.9,4,4.3,3.7,39,21666667,23271604,0,"TOR",49,35,14,27.4,16,45.8,29.2,1.1,1.5,0.37,0.35,4.4,1.6,6.3,0.662,0.638,0.9
"1454",1454,"Seth_Curry","2019","POR",74,49,25,18.9,7493.4,1.42,0.78,0.64,4.18,4.39,3.95,277,2795000,0,1,"DAL",57,34,23,24.2,12.1,31.3,22,1.7,3.19,2.54,0.387,0.3,0,0.3,0.933,0,0.867
"1456",1456,"Shabazz_Muhammad","2017","MIN",78,29,49,19.4,7372.9,1.4,0.72,0.68,4.33,4.38,4.28,253,3046299,0,1,"MIL",43,25,18,9.7,5,10.6,8.4,0.4,2.19,1.33,0.468,0.5,1.1,1.5,1.045,0.66,0.922
"1457",1457,"Shabazz_Napier","2017","POR",53,26,27,9.7,3522.7,0.67,0.37,0.29,4.16,4.55,3.72,365,1350120,2361360,0,"POR",74,46,28,20.7,8.7,36,16.8,2.8,4.61,4.24,0.241,0.3,0,0.6,0.391,0,0.415
"1458",1458,"Shabazz_Napier","2018","POR",74,46,28,20.8,7656.6,1.45,0.8,0.65,4.23,4.51,3.93,281,2361360,0,1,"BKN",56,26,30,17.6,9.4,36.6,18.1,2.8,4.55,4.08,0.258,0.3,0,0.4,0.444,0,0.583
"1459",1459,"Shabazz_Napier","2019","BKN",56,26,30,17.6,6922.9,1.31,0.72,0.59,4.17,4.5,3.82,343,1942422,1845301,0,"WAS",51,16,35,24.2,10.3,58.8,22.8,4.4,4.51,4.03,0.176,0.3,0,0.8,0.385,0.5,0.575
"1461",1461,"Shai_GilgeousAlexander","2019","LAC",82,48,34,26.5,11132.4,2.11,1.14,0.97,4.48,4.8,4.15,254,3375360,3952920,0,"OKC",63,39,24,35.1,19.3,60.3,31.6,3.9,3.89,3.51,0.32,0.5,0,0.8,0.818,1,0.84
"1465",1465,"Shaquille_Harrison","2019","CHI",72,20,52,19.7,8562.3,1.62,0.85,0.78,4.64,4.81,4.47,485,50000,0,1,"CHI",43,14,29,11.3,4.9,18.2,10.4,0.9,2.89,2.14,0.267,0.4,0,0.7,0.889,2,1
"1467",1467,"Shaun_Livingston","2017","GSW",76,63,13,17.7,6716.8,1.27,0.68,0.59,4.33,4.82,3.87,174,5782450,0,1,"GSW",71,49,22,15.9,5.5,32.8,14.6,1.9,3.43,2.89,0.169,0.7,1.2,1.7,0.633,0.593,0.828
"1468",1468,"Shaun_Livingston","2018","GSW",71,49,22,15.9,6200.5,1.17,0.62,0.55,4.47,5.01,3.99,142,7692308,8307692,0,"GSW",64,45,19,15.1,4,29.5,13.5,1.6,3.28,2.62,0.137,1,1.1,1.8,0.426,0.377,0.774
