Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Troy Williams,2018,SAC,24,21,14.9,0.3,0,0.3,0.1,0.1,0,100,100,33.3
Tyler Cavanaugh,2018,UTA,25,11,3.6,0.8,0.1,0.7,0.2,0,11.1,88.9,50,0
Tyler Davis,2018,OKC,22,1,0.9,1,1,0,1,1,100,0,100,100
Tyler Dorsey,2018,MEM,23,48,14.5,0.6,0,0.5,0.3,0.1,7.1,92.9,94.1,23.5
Tyler Johnson,2018,PHX,27,57,26.8,1,0,1,0.6,0.1,0,100,82.5,17.5
Tyler Lydon,2018,DEN,23,25,3.7,0.6,0,0.6,0.1,0.1,0,100,100,66.7
Tyler Ulis,2018,CHI,23,1,0.8,0,0,0,0,0,0,0,0,0
Tyler Zeller,2018,MEM,29,6,15.5,4.3,0.8,3.5,2.3,1,19.2,80.8,93.3,40
Tyreke Evans,2018,IND,29,69,20.3,0.4,0,0.4,0.3,0.1,3.8,96.2,100,38.9
Tyrone Wallace,2018,LAC,25,62,10.1,0.3,0,0.2,0.2,0,11.8,88.2,84.6,15.4
Tyson Chandler,2018,LAL,36,55,15.9,5.2,0.7,4.5,2.6,1,13,87,87.4,33.5
Tyus Jones,2018,MIN,23,68,22.9,0.3,0,0.3,0.2,0,0,100,82.4,5.9
Udonis Haslem,2018,MIA,39,10,7.5,1.3,0.1,1.2,0.9,0.2,7.7,92.3,100,22.2
Victor Oladipo,2018,IND,27,36,31.9,1.2,0,1.2,0.9,0.2,0,100,94.3,17.1
Vince Carter,2018,ATL,42,76,17.5,2.5,0.1,2.4,1.3,0.4,5.2,94.8,90.9,25.5
Vincent Edwards,2018,HOU,23,2,7.9,1.5,0,1.5,0.5,0,0,100,50,0
Wade Baldwin IV,2018,POR,23,16,5.9,0,0,0,0,0,0,0,0,0
Walt Lemon Jr.,2018,CHI,26,6,27.9,0.8,0,0.8,0.5,0.2,0,100,100,33.3
