Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Jordan McRae,2016,CLE,37,26,11,10.4,4.4,14.4,7.9,0.8,3.38,2.74,0.303,0.1,0,0.4,0,0,0.846
Jordan Hill,2016,MIN,7,2,5,6.7,1.7,7.9,4.7,0.3,2.17,0.67,0.218,0.7,0.9,1.4,0,0.333,0.6
Jordan Farmar,2016,SAC,2,1,1,17.7,6,50,23,3.8,4.58,4.38,0.12,0,0,0,0,0,0
Jordan Crawford,2016,NOP,19,9,10,23.3,14.1,40.5,26.6,2,2.97,2.31,0.347,0.5,0.1,0.3,0.6,0,0.4
Jordan Clarkson,2016,LAL,82,26,56,29.2,14.7,46.4,27,3,3.93,3.05,0.316,0.6,0.2,1.2,0.625,0.529,0.775
Jonathon Simmons,2016,SAS,77,60,17,17.9,6.2,27.1,18.5,1.3,2.95,2.32,0.228,0.4,0.1,0.8,0.677,0.333,0.703
Jonathan Gibson,2016,DAL,17,4,13,13.6,6.2,34.3,14.5,2.5,4.4,4.21,0.182,0.2,0,0.1,0.667,0,0
Jonas Valanciunas,2016,TOR,79,49,30,25.9,12,45.4,23.2,1.3,1.75,0.38,0.265,3.1,4.4,7,0.624,0.587,0.908
Jonas Jerebko,2016,BOS,78,51,27,15.8,3.8,29.2,15.6,0.7,1.47,0.44,0.131,0.4,0.1,1.3,0.345,0.4,0.634
Jon Leuer,2016,DET,75,34,41,25.9,10.2,45.2,25.1,1.2,1.58,0.57,0.226,1.7,1.1,3.1,0.477,0.679,1.031
Johnny O'Bryant III,2016,CHA,11,4,7,7.3,3.5,8.7,6.2,0.2,1.71,0.6,0.396,1.1,0.8,1.7,0.583,0.444,0.579
John Wall,2016,WAS,78,48,30,36.4,23.1,89.3,23.7,9.5,6.39,5.95,0.259,0.6,0.2,1,0.289,0.412,0.564
John Lucas III,2016,MIN,5,3,2,2.1,0.4,3.4,1.6,0.2,4.03,3.76,0.118,0,0,0,0,0,0
John Jenkins,2016,PHX,4,0,4,3.2,1.8,4.3,3,0.2,2.18,1.18,0.412,0,0,0,0,0,0
John Henson,2016,MIL,58,26,32,19.4,6.8,23.6,16.1,0.6,1.53,0.36,0.287,4.1,1.3,6.5,0.14,0.37,0.788
Joffrey Lauvergne,2016,CHI,70,41,29,14,5.4,23,13.5,0.6,1.61,0.55,0.233,1.7,0.9,3.1,0.414,0.484,0.639
Joel Embiid,2016,PHI,31,13,18,25.4,20.2,63.4,45.9,2.2,2.07,0.78,0.319,3.1,10.9,6.1,0.295,0.555,0.847
Joel Bolomboy,2016,UTA,12,8,4,4.4,1.8,7,3.4,0.2,1.76,0.57,0.262,0.6,0.2,1.8,0.571,1.5,0.762
Joel Anthony,2016,SAS,19,15,4,6.4,1.3,6.5,3.5,0.2,1.75,0.36,0.203,0.8,0.2,1.5,0.188,0,0.536
Joe Young,2016,IND,32,18,14,4.1,2,10.1,3.8,0.9,5.44,5.1,0.195,0,0,0.2,2,0,1.2
Joe Johnson,2016,UTA,78,47,31,23.6,9.2,35.7,24.8,1.7,2.79,1.86,0.257,0.6,1.7,0.7,0.447,0.29,0.698
Joe Ingles,2016,UTA,82,51,31,24.1,7.1,36.5,26.2,1.7,2.8,1.77,0.194,0.4,0.2,0.5,0.257,0.071,0.432
Joe Harris,2016,BKN,51,10,41,21.9,8.3,29.5,22.2,0.9,1.87,1.17,0.281,0.7,0,1,0.658,0,0.808
Jodie Meeks,2016,ORL,36,14,22,20.5,9.1,24.3,19.7,0.8,1.87,1.33,0.375,0.5,0,0.4,0.5,0,1.308
Joakim Noah,2016,NYK,46,17,29,22.1,5,47.7,25.7,1.2,1.48,0.43,0.106,3.2,0.7,6.1,0.228,0.206,0.552
Jimmy Butler,2016,CHI,76,40,36,37,23.9,70.3,43,5.3,4.48,3.53,0.34,2.2,3.5,3.7,0.482,0.414,0.732
Jerryd Bayless,2016,PHI,3,1,2,23.8,11,70.3,30,5.6,4.79,4.26,0.156,0,0,0.7,0,0,0
Jerian Grant,2016,CHI,63,29,34,16.3,5.9,27.8,13.3,1.8,3.97,3.71,0.211,0.2,0.3,0.2,0.6,0.5,0.333
Jeremy Lin,2016,BKN,35,13,22,24.5,14.6,61.5,22.3,4.8,4.66,4.39,0.237,0.8,0.7,0.9,0.429,0.435,0.515
Jeremy Lamb,2016,CHA,62,27,35,18.4,9.7,26.6,18.7,1.6,3.51,2.7,0.365,0.6,0.1,1,0.944,1.6,0.966
Jerami Grant,2016,OKC,80,43,37,19.1,5.5,23.5,13.2,0.6,1.6,0.55,0.232,0.7,0.2,1,0.463,0.294,0.842
Jeff Withey,2016,UTA,51,33,18,8.5,2.9,12.8,6.9,0.3,1.31,0.23,0.224,1.1,0.2,2.6,0.556,0,0.842
Jeff Teague,2016,IND,81,42,39,32.5,15.3,76.6,25,7,5.46,5.41,0.2,0.5,0.2,0.6,0.378,0.286,0.58
Jeff Green,2016,ORL,69,26,43,22.2,9.2,32.6,22.8,1.3,2.34,1.1,0.284,0.6,1.6,1.2,0.659,0.458,0.864
Jaylen Brown,2016,BOS,78,50,28,17.2,6.6,21.9,15.7,0.8,2.06,1.3,0.301,0.4,0.6,1.6,0.5,0.62,0.833
Jason Terry,2016,MIL,74,37,37,18.4,4.1,21.8,13,0.7,2.03,1.38,0.19,0.4,0,0.4,0.188,0.667,0.385
Jason Smith,2016,WAS,74,45,29,14.4,5.7,25.4,11.9,0.5,1.29,0.18,0.224,1.5,0.2,1.2,0.313,0,0.787
Jarrod Uthoff,2016,DAL,9,2,7,12.7,4.4,18.8,12.1,0.6,1.95,0.63,0.237,0.7,0.9,2.1,0.5,0,0.526
Jarrett Jack,2016,NOP,2,1,1,16.5,3,30.5,15.5,1.8,3.5,2.95,0.098,0.5,0,0,2,0,0
Jarnell Stokes,2016,DEN,2,0,2,3.3,1.5,3.5,2.5,0.1,1.19,0.14,0.429,0,0.5,2.5,0,2,0.8
Jarell Martin,2016,MEM,42,23,19,13.3,3.9,22.5,10,0.7,1.81,0.56,0.174,0.6,0.3,1.8,0.4,0.5,0.649
Jarell Eddie,2016,PHX,5,0,5,12.5,4.8,12,9.6,0.3,1.51,0.7,0.4,0,0,0.4,0,0,2
Jared Sullinger,2016,TOR,11,2,9,10.7,3.4,17.5,11,0.5,1.55,0.52,0.193,0.8,0.5,2.2,0.222,0.167,0.708
Jared Dudley,2016,PHX,64,17,47,21.3,6.8,46.5,25.7,1.1,1.45,0.47,0.146,1,0.9,1,0.385,0.327,0.677
James Young,2016,BOS,29,16,13,7.6,2.3,7.9,6.1,0.2,1.62,0.66,0.296,0.1,0,0.3,0,2,1.3
James Michael McAdoo,2016,GSW,52,43,9,8.8,2.8,14.3,8.7,0.4,1.58,0.48,0.198,1.4,0.6,2.4,0.292,0.267,0.76
James Jones,2016,CLE,48,28,20,7.9,2.8,11.3,5.5,0.3,1.62,0.37,0.244,0.2,0.1,0.2,0,1.286,0.7
James Johnson,2016,MIA,76,40,36,27.4,12.8,57.8,27,2.6,2.74,2.09,0.222,1.6,1.6,1.6,0.369,0.233,0.512
